year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,28,3,636,12,12
2024,28,3,635,2,14
2024,28,3,634,1,15
2024,28,3,633,2,17
2024,28,3,632,3,20
2024,28,3,631,3,23
2024,28,3,630,5,28
2024,28,3,629,5,33
2024,28,3,628,5,38
2024,28,3,627,7,45
2024,28,3,626,1,46
2024,28,3,625,2,48
2024,28,3,624,4,52
2024,28,3,623,4,56
2024,28,3,622,5,61
2024,28,3,621,3,64
2024,28,3,620,3,67
2024,28,3,619,3,70
2024,28,3,618,5,75
2024,28,3,617,10,85
2024,28,3,616,3,88
2024,28,3,615,14,102
2024,28,3,614,7,109
2024,28,3,613,9,118
2024,28,3,612,11,129
2024,28,3,611,11,140
2024,28,3,610,10,150
2024,28,3,609,9,159
2024,28,3,608,16,175
2024,28,3,607,6,181
2024,28,3,606,16,197
2024,28,3,605,7,204
2024,28,3,604,8,212
2024,28,3,603,20,232
2024,28,3,602,13,245
2024,28,3,601,17,262
2024,28,3,600,17,279
2024,28,3,599,8,287
2024,28,3,598,21,308
2024,28,3,597,12,320
2024,28,3,596,19,339
2024,28,3,595,9,348
2024,28,3,594,19,367
2024,28,3,593,17,384
2024,28,3,592,20,404
2024,28,3,591,12,416
2024,28,3,590,21,437
2024,28,3,589,15,452
2024,28,3,588,13,465
2024,28,3,587,29,494
2024,28,3,586,17,511
2024,28,3,585,25,536
2024,28,3,584,29,565
2024,28,3,583,17,582
2024,28,3,582,14,596
2024,28,3,581,24,620
2024,28,3,580,23,643
2024,28,3,579,29,672
2024,28,3,578,26,698
2024,28,3,577,16,714
2024,28,3,576,18,732
2024,28,3,575,31,763
2024,28,3,574,39,802
2024,28,3,573,38,840
2024,28,3,572,33,873
2024,28,3,571,37,910
2024,28,3,570,37,947
2024,28,3,569,27,974
2024,28,3,568,37,1011
2024,28,3,567,33,1044
2024,28,3,566,35,1079
2024,28,3,565,36,1115
2024,28,3,564,44,1159
2024,28,3,563,32,1191
2024,28,3,562,44,1235
