year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,18,2,640,125,127
2024,18,2,630,109,236
2024,18,2,620,150,386
2024,18,2,610,220,606
2024,18,2,600,241,847
2024,18,2,590,309,1156
2024,18,2,580,380,1536
2024,18,2,570,494,2030
2024,18,2,560,549,2579
2024,18,2,550,597,3176
2024,18,2,540,694,3870
2024,18,2,530,738,4608
2024,18,2,520,815,5423
2024,18,2,510,861,6284
2024,18,2,500,966,7250
2024,18,2,490,983,8233
2024,18,2,480,1064,9297
2024,18,2,470,1121,10418
2024,18,2,460,1158,11576
2024,18,2,450,1187,12763
2024,18,2,440,1194,13957
2024,18,2,430,1238,15195
2024,18,2,420,1266,16461
2024,18,2,410,1233,17694
2024,18,2,400,1209,18903
2024,18,2,390,1234,20137
2024,18,2,380,1212,21349
2024,18,2,370,1177,22526
2024,18,2,360,1109,23635
2024,18,2,350,1083,24718
2024,18,2,340,987,25705
2024,18,2,330,900,26605
2024,18,2,320,748,27353
2024,18,2,310,662,28015
2024,18,2,300,529,28544
2024,18,2,290,400,28944
2024,18,2,280,355,29299
2024,18,2,270,289,29588
2024,18,2,260,255,29843
2024,18,2,250,217,30060
2024,18,2,240,160,30220
2024,18,2,230,148,30368
2024,18,2,220,132,30500
2024,18,2,210,105,30605
2024,18,2,200,81,30686
2024,18,2,190,62,30748
2024,18,2,180,48,30796
2024,18,2,170,35,30831
2024,18,2,160,22,30853
2024,18,2,150,19,30872
2024,18,2,140,21,30893
2024,18,2,130,10,30903
2024,18,2,120,5,30908
2024,18,2,110,5,30913
2024,18,2,100,7,30920
2024,18,2,90,4,30924
2024,18,2,80,6,30930
2024,18,2,70,8,30938
2024,18,2,60,6,30944
2024,18,2,50,8,30952
2024,18,2,40,8,30960
2024,18,2,30,2,30962
2024,18,2,20,5,30967
2024,18,2,10,1,30968
2024,18,2,0,1375,32343
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
