year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,18,1,690,125,125
2024,18,1,680,165,290
2024,18,1,670,265,555
2024,18,1,660,366,921
2024,18,1,650,535,1456
2024,18,1,640,683,2139
2024,18,1,630,753,2892
2024,18,1,620,1003,3895
2024,18,1,610,1156,5051
2024,18,1,600,1311,6362
2024,18,1,590,1409,7771
2024,18,1,580,1599,9370
2024,18,1,570,1750,11120
2024,18,1,560,1835,12955
2024,18,1,550,1971,14926
2024,18,1,540,2057,16983
2024,18,1,530,2156,19139
2024,18,1,520,2283,21422
2024,18,1,510,2442,23864
2024,18,1,500,2574,26438
2024,18,1,490,2701,29139
2024,18,1,480,2730,31869
2024,18,1,470,2720,34589
2024,18,1,460,2789,37378
2024,18,1,450,2788,40166
2024,18,1,440,2936,43102
2024,18,1,430,2817,45919
2024,18,1,420,2957,48876
2024,18,1,410,2930,51806
2024,18,1,400,2914,54720
2024,18,1,390,2839,57559
2024,18,1,380,2707,60266
2024,18,1,370,2615,62881
2024,18,1,360,2529,65410
2024,18,1,350,2395,67805
2024,18,1,340,2175,69980
2024,18,1,330,2083,72063
2024,18,1,320,1863,73926
2024,18,1,310,1689,75615
2024,18,1,300,1526,77141
2024,18,1,290,1249,78390
2024,18,1,280,1086,79476
2024,18,1,270,878,80354
2024,18,1,260,722,81076
2024,18,1,250,571,81647
2024,18,1,240,450,82097
2024,18,1,230,333,82430
2024,18,1,220,241,82671
2024,18,1,210,197,82868
2024,18,1,200,129,82997
2024,18,1,190,91,83088
2024,18,1,180,52,83140
2024,18,1,170,31,83171
2024,18,1,160,30,83201
2024,18,1,150,25,83226
2024,18,1,140,10,83236
2024,18,1,130,4,83240
2024,18,1,120,11,83251
2024,18,1,110,4,83255
2024,18,1,100,6,83261
2024,18,1,90,3,83264
2024,18,1,80,4,83268
2024,18,1,70,4,83272
2024,18,1,60,12,83284
2024,18,1,50,5,83289
2024,18,1,40,5,83294
2024,18,1,30,2,83296
2024,18,1,20,3,83299
2024,18,1,10,7,83306
2024,18,1,0,878,84184
