year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,27,2,639,4,34
2024,27,2,638,4,38
2024,27,2,637,6,44
2024,27,2,636,5,49
2024,27,2,635,12,61
2024,27,2,634,14,75
2024,27,2,633,5,80
2024,27,2,632,14,94
2024,27,2,631,4,98
2024,27,2,630,11,109
2024,27,2,629,19,128
2024,27,2,628,14,142
2024,27,2,627,18,160
2024,27,2,626,15,175
2024,27,2,625,28,203
2024,27,2,624,19,222
2024,27,2,623,25,247
2024,27,2,622,15,262
2024,27,2,621,25,287
2024,27,2,620,34,321
2024,27,2,619,26,347
2024,27,2,618,25,372
2024,27,2,617,26,398
2024,27,2,616,34,432
2024,27,2,615,32,464
2024,27,2,614,37,501
2024,27,2,613,51,552
2024,27,2,612,48,600
2024,27,2,611,40,640
2024,27,2,610,48,688
2024,27,2,609,53,741
2024,27,2,608,55,796
2024,27,2,607,52,848
2024,27,2,606,50,898
2024,27,2,605,71,969
2024,27,2,604,73,1042
2024,27,2,603,60,1102
2024,27,2,602,68,1170
2024,27,2,601,77,1247
2024,27,2,600,72,1319
2024,27,2,599,71,1390
2024,27,2,598,86,1476
2024,27,2,597,89,1565
2024,27,2,596,92,1657
2024,27,2,595,94,1751
2024,27,2,594,100,1851
2024,27,2,593,97,1948
2024,27,2,592,105,2053
2024,27,2,591,105,2158
2024,27,2,590,118,2276
2024,27,2,589,106,2382
2024,27,2,588,127,2509
2024,27,2,587,120,2629
2024,27,2,586,119,2748
2024,27,2,585,136,2884
2024,27,2,584,130,3014
2024,27,2,583,136,3150
2024,27,2,582,134,3284
2024,27,2,581,161,3445
2024,27,2,580,119,3564
2024,27,2,579,163,3727
2024,27,2,578,152,3879
2024,27,2,577,173,4052
2024,27,2,576,161,4213
2024,27,2,575,166,4379
2024,27,2,574,182,4561
2024,27,2,573,194,4755
2024,27,2,572,184,4939
2024,27,2,571,178,5117
2024,27,2,570,182,5299
2024,27,2,569,205,5504
2024,27,2,568,218,5722
2024,27,2,567,212,5934
2024,27,2,566,247,6181
2024,27,2,565,236,6417
2024,27,2,564,224,6641
2024,27,2,563,252,6893
2024,27,2,562,239,7132
2024,27,2,561,243,7375
2024,27,2,560,275,7650
2024,27,2,559,262,7912
2024,27,2,558,295,8207
2024,27,2,557,305,8512
2024,27,2,556,324,8836
2024,27,2,555,317,9153
2024,27,2,554,309,9462
2024,27,2,553,350,9812
2024,27,2,552,349,10161
2024,27,2,551,327,10488
2024,27,2,550,316,10804
2024,27,2,549,362,11166
2024,27,2,548,376,11542
2024,27,2,547,399,11941
2024,27,2,546,420,12361
2024,27,2,545,387,12748
2024,27,2,544,451,13199
2024,27,2,543,392,13591
2024,27,2,542,398,13989
2024,27,2,541,437,14426
2024,27,2,540,419,14845
2024,27,2,539,489,15334
2024,27,2,538,427,15761
2024,27,2,537,475,16236
2024,27,2,536,474,16710
2024,27,2,535,513,17223
2024,27,2,534,496,17719
2024,27,2,533,538,18257
2024,27,2,532,490,18747
2024,27,2,531,525,19272
2024,27,2,530,558,19830
2024,27,2,529,543,20373
2024,27,2,528,512,20885
2024,27,2,527,509,21394
2024,27,2,526,588,21982
2024,27,2,525,566,22548
2024,27,2,524,579,23127
2024,27,2,523,552,23679
2024,27,2,522,539,24218
2024,27,2,521,637,24855
2024,27,2,520,586,25441
2024,27,2,519,607,26048
2024,27,2,518,625,26673
2024,27,2,517,632,27305
2024,27,2,516,664,27969
2024,27,2,515,713,28682
2024,27,2,514,745,29427
2024,27,2,513,645,30072
2024,27,2,512,686,30758
2024,27,2,511,706,31464
2024,27,2,510,706,32170
2024,27,2,509,679,32849
2024,27,2,508,740,33589
2024,27,2,507,739,34328
2024,27,2,506,706,35034
2024,27,2,505,709,35743
2024,27,2,504,741,36484
2024,27,2,503,814,37298
2024,27,2,502,742,38040
2024,27,2,501,797,38837
2024,27,2,500,781,39618
2024,27,2,499,752,40370
2024,27,2,498,811,41181
2024,27,2,497,808,41989
2024,27,2,496,822,42811
2024,27,2,494,787,44438
2024,27,2,493,870,45308
2024,27,2,492,798,46106
2024,27,2,491,875,46981
2024,27,2,490,848,47829
2024,27,2,489,863,48692
2024,27,2,488,873,49565
2024,27,2,487,903,50468
2024,27,2,486,879,51347
2024,27,2,485,837,52184
2024,27,2,484,867,53051
2024,27,2,483,873,53924
2024,27,2,482,893,54817
2024,27,2,481,896,55713
2024,27,2,480,833,56546
2024,27,2,479,896,57442
2024,27,2,478,904,58346
2024,27,2,477,845,59191
2024,27,2,476,927,60118
2024,27,2,475,923,61041
2024,27,2,474,850,61891
2024,27,2,473,869,62760
2024,27,2,472,921,63681
2024,27,2,471,875,64556
2024,27,2,470,889,65445
2024,27,2,469,901,66346
2024,27,2,468,925,67271
2024,27,2,467,889,68160
2024,27,2,466,881,69041
2024,27,2,465,863,69904
2024,27,2,464,849,70753
2024,27,2,463,845,71598
2024,27,2,462,872,72470
2024,27,2,461,884,73354
2024,27,2,460,859,74213
2024,27,2,459,853,75066
2024,27,2,458,867,75933
2024,27,2,457,880,76813
2024,27,2,456,819,77632
2024,27,2,455,846,78478
2024,27,2,454,851,79329
2024,27,2,453,810,80139
2024,27,2,452,816,80955
2024,27,2,451,772,81727
2024,27,2,450,870,82597
2024,27,2,449,786,83383
2024,27,2,448,786,84169
2024,27,2,447,853,85022
2024,27,2,446,842,85864
2024,27,2,445,803,86667
2024,27,2,444,843,87510
2024,27,2,443,829,88339
2024,27,2,442,807,89146
2024,27,2,441,748,89894
2024,27,2,440,840,90734
2024,27,2,439,833,91567
2024,27,2,438,826,92393
2024,27,2,437,829,93222
2024,27,2,436,770,93992
2024,27,2,435,762,94754
2024,27,2,434,811,95565
2024,27,2,433,779,96344
2024,27,2,432,856,97200
2024,27,2,431,811,98011
2024,27,2,430,761,98772
2024,27,2,429,763,99535
2024,27,2,428,749,100284
2024,27,2,427,760,101044
2024,27,2,426,803,101847
2024,27,2,425,796,102643
2024,27,2,424,824,103467
2024,27,2,423,759,104226
2024,27,2,422,774,105000
2024,27,2,421,746,105746
2024,27,2,420,797,106543
2024,27,2,419,782,107325
2024,27,2,418,757,108082
2024,27,2,417,758,108840
2024,27,2,416,779,109619
2024,27,2,415,765,110384
2024,27,2,414,818,111202
2024,27,2,413,736,111938
2024,27,2,412,782,112720
2024,27,2,411,800,113520
2024,27,2,410,759,114279
2024,27,2,409,784,115063
2024,27,2,408,/51,115814
2024,27,2,407,765,116579
2024,27,2,406,758,117337
2024,27,2,405,695,118032
2024,27,2,404,746,118778
2024,27,2,403,771,119549
2024,27,2,402,737,120286
2024,27,2,401,695,120981
2024,27,2,400,740,121721
2024,27,2,399,746,122467
2024,27,2,398,757,123224
2024,27,2,397,714,123938
2024,27,2,396,753,124691
2024,27,2,395,728,125419
2024,27,2,394,711,126130
2024,27,2,393,744,126874
2024,27,2,392,712,127586
2024,27,2,391,756,128342
2024,27,2,390,724,129066
2024,27,2,389,726,129792
2024,27,2,388,783,130575
2024,27,2,387,750,131325
2024,27,2,386,725,132050
2024,27,2,385,742,132792
2024,27,2,384,725,133517
2024,27,2,383,701,134218
2024,27,2,382,761,134979
2024,27,2,381,700,135679
2024,27,2,380,730,136409
2024,27,2,379,691,137100
2024,27,2,378,757,137857
2024,27,2,377,711,138568
2024,27,2,376,764,139332
2024,27,2,375,700,140032
2024,27,2,374,759,140791
2024,27,2,373,743,141534
2024,27,2,372,737,142271
2024,27,2,371,727,142998
2024,27,2,370,689,143687
2024,27,2,369,712,144399
2024,27,2,368,712,145111
2024,27,2,367,671,145782
2024,27,2,366,677,146459
2024,27,2,365,683,147142
2024,27,2,364,698,147840
2024,27,2,363,706,148546
2024,27,2,362,700,149246
2024,27,2,361,665,149911
2024,27,2,360,634,150545
2024,27,2,359,661,151206
2024,27,2,358,622,151828
2024,27,2,357,641,152469
2024,27,2,356,657,153126
2024,27,2,355,690,153816
2024,27,2,354,654,154470
2024,27,2,353,673,155143
2024,27,2,352,595,155738
2024,27,2,351,662,156400
2024,27,2,350,655,157055
2024,27,2,349,597,157652
2024,27,2,348,618,158270
2024,27,2,347,606,158876
2024,27,2,346,585,159461
2024,27,2,345,621,160082
2024,27,2,344,582,160664
2024,27,2,343,578,161242
2024,27,2,342,580,161822
2024,27,2,341,553,162375
2024,27,2,340,573,162948
2024,27,2,339,521,163469
2024,27,2,338,563,164032
2024,27,2,337,588,164620
2024,27,2,336,580,165200
2024,27,2,335,580,165780
2024,27,2,334,557,166337
2024,27,2,333,542,166879
2024,27,2,332,542,167421
2024,27,2,331,540,167961
2024,27,2,330,533,168494
2024,27,2,329,543,169037
2024,27,2,328,497,169534
2024,27,2,327,481,170015
2024,27,2,326,507,170522
2024,27,2,325,517,171039
2024,27,2,324,485,171524
2024,27,2,323,481,172005
2024,27,2,322,438,172443
2024,27,2,321,450,172893
2024,27,2,320,458,173351
2024,27,2,319,444,173795
2024,27,2,318,462,174257
2024,27,2,317,418,174675
2024,27,2,316,435,175110
2024,27,2,315,451,175561
2024,27,2,314,440,176001
2024,27,2,313,439,176440
2024,27,2,312,389,176829
2024,27,2,311,390,177219
2024,27,2,310,401,177620
2024,27,2,309,373,177993
2024,27,2,308,406,178399
2024,27,2,307,386,178785
2024,27,2,306,403,179188
2024,27,2,305,368,179556
2024,27,2,304,385,179941
2024,27,2,303,345,180286
2024,27,2,302,400,180686
2024,27,2,301,373,181059
2024,27,2,300,370,181429
