year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,27,1,699,51,51
2024,27,1,698,12,63
2024,27,1,697,14,77
2024,27,1,696,8,85
2024,27,1,695,9,94
2024,27,1,694,16,110
2024,27,1,693,21,131
2024,27,1,692,21,152
2024,27,1,691,14,166
2024,27,1,690,30,196
2024,27,1,689,32,228
2024,27,1,688,30,258
2024,27,1,687,33,291
2024,27,1,686,25,316
2024,27,1,685,53,369
2024,27,1,684,35,404
2024,27,1,683,42,446
2024,27,1,682,57,503
2024,27,1,681,57,560
2024,27,1,680,58,618
2024,27,1,679,53,671
2024,27,1,678,70,741
2024,27,1,677,78,819
2024,27,1,676,75,894
2024,27,1,675,72,966
2024,27,1,674,81,1047
2024,27,1,673,87,1134
2024,27,1,672,116,1250
2024,27,1,671,85,1335
2024,27,1,670,106,1441
2024,27,1,669,122,1563
2024,27,1,668,106,1669
2024,27,1,667,117,1786
2024,27,1,666,129,1915
2024,27,1,665,131,2046
2024,27,1,664,122,2168
2024,27,1,663,130,2298
2024,27,1,662,158,2456
2024,27,1,661,160,2616
2024,27,1,660,156,2772
2024,27,1,659,166,2938
2024,27,1,658,192,3130
2024,27,1,657,182,3312
2024,27,1,656,173,3485
2024,27,1,655,180,3665
2024,27,1,654,194,3859
2024,27,1,653,213,4072
2024,27,1,652,242,4314
2024,27,1,651,214,4528
2024,27,1,650,231,4759
2024,27,1,649,229,4988
2024,27,1,648,223,5211
2024,27,1,647,233,5444
2024,27,1,646,261,5705
2024,27,1,645,271,5976
2024,27,1,644,264,6240
2024,27,1,643,290,6530
2024,27,1,642,284,6814
2024,27,1,641,295,7109
2024,27,1,640,303,7412
2024,27,1,639,272,7684
2024,27,1,638,313,7997
2024,27,1,637,320,8317
2024,27,1,636,315,8632
2024,27,1,635,338,8970
2024,27,1,634,346,9316
2024,27,1,633,356,9672
2024,27,1,632,352,10024
2024,27,1,631,389,10413
2024,27,1,630,363,10776
2024,27,1,629,429,11205
2024,27,1,628,385,11590
2024,27,1,627,372,11962
2024,27,1,626,432,12394
2024,27,1,625,431,12825
2024,27,1,624,420,13245
2024,27,1,623,457,13702
2024,27,1,622,462,14164
2024,27,1,621,468,14632
2024,27,1,620,458,15090
2024,27,1,619,472,15562
2024,27,1,618,465,16027
2024,27,1,617,524,16551
2024,27,1,616,513,17064
2024,27,1,615,499,17563
2024,27,1,614,550,18113
2024,27,1,613,512,18625
2024,27,1,612,568,19193
2024,27,1,611,573,19766
2024,27,1,610,555,20321
2024,27,1,609,506,20827
2024,27,1,608,556,21383
2024,27,1,607,573,21956
2024,27,1,606,567,22523
2024,27,1,605,590,23113
2024,27,1,604,595,23708
2024,27,1,603,615,24323
2024,27,1,602,641,24964
2024,27,1,601,637,25601
2024,27,1,600,639,26240
2024,27,1,599,643,26883
2024,27,1,598,643,27526
2024,27,1,597,722,28248
2024,27,1,596,681,28929
