year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,25,2,620,52,52
2024,25,2,619,3,55
2024,25,2,618,4,59
2024,25,2,617,3,62
2024,25,2,616,6,68
2024,25,2,615,2,70
2024,25,2,614,4,74
2024,25,2,613,8,82
2024,25,2,612,5,87
2024,25,2,611,8,95
2024,25,2,610,0,95
2024,25,2,609,3,98
2024,25,2,608,11,109
2024,25,2,607,6,115
2024,25,2,606,5,120
2024,25,2,605,7,127
2024,25,2,604,4,131
2024,25,2,603,10,141
2024,25,2,602,7,148
2024,25,2,601,8,156
2024,25,2,600,3,159
2024,25,2,599,6,165
2024,25,2,598,15,180
2024,25,2,597,6,186
2024,25,2,596,10,196
2024,25,2,595,7,203
2024,25,2,594,8,211
2024,25,2,593,9,220
2024,25,2,592,13,233
2024,25,2,591,9,242
2024,25,2,590,12,254
2024,25,2,589,13,267
2024,25,2,588,7,274
2024,25,2,587,17,291
2024,25,2,586,12,303
2024,25,2,585,15,318
2024,25,2,584,17,335
2024,25,2,583,19,354
2024,25,2,582,15,369
2024,25,2,581,12,381
2024,25,2,580,8,389
2024,25,2,579,13,402
2024,25,2,578,21,423
2024,25,2,577,14,437
2024,25,2,576,12,449
2024,25,2,575,25,474
2024,25,2,574,18,492
2024,25,2,573,12,504
2024,25,2,572,20,524
2024,25,2,571,16,540
2024,25,2,570,20,560
2024,25,2,569,23,583
2024,25,2,568,27,610
2024,25,2,567,16,626
2024,25,2,566,19,645
2024,25,2,565,18,663
2024,25,2,564,23,686
2024,25,2,563,17,703
2024,25,2,562,21,724
2024,25,2,561,12,736
2024,25,2,560,14,750
2024,25,2,559,35,785
2024,25,2,558,22,807
2024,25,2,557,22,829
2024,25,2,556,25,854
2024,25,2,555,26,880
2024,25,2,554,25,905
2024,25,2,553,16,921
2024,25,2,552,29,950
2024,25,2,551,24,974
2024,25,2,550,25,999
2024,25,2,549,24,1023
2024,25,2,548,35,1058
2024,25,2,547,34,1092
2024,25,2,546,36,1128
2024,25,2,545,20,1148
2024,25,2,544,28,1176
2024,25,2,543,40,1216
2024,25,2,542,36,1252
2024,25,2,541,33,1285
2024,25,2,540,33,1318
2024,25,2,539,27,1345
2024,25,2,538,34,1379
2024,25,2,537,40,1419
2024,25,2,536,39,1458
2024,25,2,535,35,1493
2024,25,2,534,30,1523
