year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,25,1,634,104,104
2024,25,1,633,6,110
2024,25,1,632,11,121
2024,25,1,631,3,124
2024,25,1,630,9,133
2024,25,1,629,4,137
2024,25,1,628,10,147
2024,25,1,627,5,152
2024,25,1,626,6,158
2024,25,1,625,6,164
2024,25,1,624,10,174
2024,25,1,623,7,181
2024,25,1,622,4,185
2024,25,1,621,9,194
2024,25,1,620,11,205
2024,25,1,619,15,220
2024,25,1,618,8,228
2024,25,1,617,5,233
2024,25,1,616,10,243
2024,25,1,615,17,260
2024,25,1,614,12,272
2024,25,1,613,13,285
2024,25,1,612,19,304
2024,25,1,611,7,311
2024,25,1,610,13,324
2024,25,1,609,6,330
2024,25,1,608,10,340
2024,25,1,607,15,355
2024,25,1,606,12,367
2024,25,1,605,14,381
2024,25,1,604,13,394
2024,25,1,603,12,406
2024,25,1,602,12,418
2024,25,1,601,14,432
2024,25,1,600,17,449
2024,25,1,599,21,470
2024,25,1,598,14,484
2024,25,1,597,16,500
2024,25,1,596,19,519
2024,25,1,595,16,535
2024,25,1,594,17,552
2024,25,1,593,20,572
2024,25,1,592,15,587
2024,25,1,591,17,604
2024,25,1,590,17,621
2024,25,1,589,20,641
2024,25,1,588,25,666
2024,25,1,587,19,685
2024,25,1,586,16,701
2024,25,1,585,19,720
2024,25,1,584,23,743
2024,25,1,583,28,771
2024,25,1,582,25,796
2024,25,1,581,21,817
2024,25,1,580,16,833
2024,25,1,579,20,853
2024,25,1,578,30,883
2024,25,1,577,24,907
2024,25,1,576,22,929
2024,25,1,575,29,958
2024,25,1,574,28,986
2024,25,1,573,33,1019
2024,25,1,572,37,1056
2024,25,1,571,35,1091
2024,25,1,570,35,1126
2024,25,1,569,29,1155
2024,25,1,568,30,1185
2024,25,1,567,31,1216
2024,25,1,566,25,1241
2024,25,1,565,33,1274
2024,25,1,564,30,1304
2024,25,1,563,38,1342
2024,25,1,562,38,1380
2024,25,1,561,37,1417
2024,25,1,560,42,1459
2024,25,1,559,29,1488
2024,25,1,558,36,1524
2024,25,1,557,39,1563
2024,25,1,556,48,1611
2024,25,1,555,41,1652
2024,25,1,554,32,1684
2024,25,1,553,42,1726
2024,25,1,552,40,1766
2024,25,1,551,41,1807
2024,25,1,550,31,1838
2024,25,1,549,50,1888
2024,25,1,548,36,1924
2024,25,1,547,55,1979
2024,25,1,546,37,2016
2024,25,1,545,35,2051
2024,25,1,544,46,2097
2024,25,1,543,41,2138
2024,25,1,542,42,2180
2024,25,1,541,46,2226
2024,25,1,540,59,2285
2024,25,1,539,47,2332
2024,25,1,538,50,2382
2024,25,1,537,55,2437
2024,25,1,536,52,2489
2024,25,1,535,44,2533
2024,25,1,534,50,2583
2024,25,1,533,51,2634
2024,25,1,532,62,2696
2024,25,1,531,55,2751
2024,25,1,530,48,2799
2024,25,1,529,70,2869
2024,25,1,528,61,2930
2024,25,1,527,49,2979
2024,25,1,526,77,3056
2024,25,1,525,50,3106
2024,25,1,524,59,3165
2024,25,1,523,56,3221
2024,25,1,522,72,3293
2024,25,1,521,56,3349
2024,25,1,520,64,3413
2024,25,1,519,59,3472
2024,25,1,518,83,3555
2024,25,1,517,71,3626
2024,25,1,516,69,3695
2024,25,1,515,80,3775
2024,25,1,514,77,3852
2024,25,1,513,90,3942
2024,25,1,512,71,4013
2024,25,1,511,63,4076
2024,25,1,510,69,4145
2024,25,1,509,92,4237
2024,25,1,508,81,4318
2024,25,1,507,84,4402
2024,25,1,506,73,4475
2024,25,1,505,89,4564
2024,25,1,504,62,4626
2024,25,1,503,98,4724
2024,25,1,502,82,4806
2024,25,1,501,73,4879
2024,25,1,500,87,4966
2024,25,1,499,80,5046
2024,25,1,498,92,5138
2024,25,1,497,106,5244
2024,25,1,496,92,5336
2024,25,1,495,88,5424
2024,25,1,494,101,5525
2024,25,1,493,81,5606
2024,25,1,492,94,5700
2024,25,1,491,100,5800
2024,25,1,490,85,5885
2024,25,1,489,108,5993
2024,25,1,488,108,6101
2024,25,1,487,117,6218
2024,25,1,486,94,6312
2024,25,1,485,104,6416
2024,25,1,484,119,6535
2024,25,1,483,111,6646
2024,25,1,482,104,6750
2024,25,1,481,101,6851
2024,25,1,480,135,6986
2024,25,1,479,121,7107
2024,25,1,478,128,7235
2024,25,1,477,111,7346
2024,25,1,476,111,7457
2024,25,1,475,117,7574
2024,25,1,474,129,7703
2024,25,1,473,109,7812
2024,25,1,472,121,7933
2024,25,1,471,134,8067
2024,25,1,470,110,8177
2024,25,1,469,127,8304
2024,25,1,468,135,8439
2024,25,1,467,126,8565
2024,25,1,466,122,8687
2024,25,1,465,126,8813
2024,25,1,464,147,8960
2024,25,1,463,141,9101
2024,25,1,462,135,9236
2024,25,1,461,152,9388
2024,25,1,460,142,9530
2024,25,1,459,151,9681
2024,25,1,458,153,9834
2024,25,1,457,132,9966
2024,25,1,456,155,10121
2024,25,1,455,161,10282
2024,25,1,454,166,10448
2024,25,1,453,150,10598
2024,25,1,452,156,10754
2024,25,1,451,159,10913
2024,25,1,450,182,11095
2024,25,1,449,162,11257
2024,25,1,448,189,11446
2024,25,1,447,182,11628
2024,25,1,446,195,11823
2024,25,1,445,169,11992
2024,25,1,444,149,12141
2024,25,1,443,137,12278
2024,25,1,442,192,12470
2024,25,1,441,189,12659
2024,25,1,440,171,12830
2024,25,1,439,155,12985
2024,25,1,438,177,13162
2024,25,1,437,175,13337
2024,25,1,436,176,13513
2024,25,1,435,176,13689
2024,25,1,434,194,13883
2024,25,1,433,186,14069
2024,25,1,432,200,14269
2024,25,1,431,213,14482
2024,25,1,430,208,14690
2024,25,1,429,196,14886
2024,25,1,428,179,15065
2024,25,1,427,169,15234
2024,25,1,426,190,15424
2024,25,1,425,180,15604
2024,25,1,424,189,15793
2024,25,1,423,205,15998
2024,25,1,422,201,16199
2024,25,1,421,214,16413
2024,25,1,420,197,16610
2024,25,1,419,236,16846
2024,25,1,418,212,17058
2024,25,1,417,212,17270
2024,25,1,416,213,17483
2024,25,1,415,210,17693
2024,25,1,414,211,17904
2024,25,1,413,199,18103
2024,25,1,412,195,18298
2024,25,1,411,211,18509
2024,25,1,410,202,18711
2024,25,1,409,224,18935
2024,25,1,408,202,19137
2024,25,1,407,228,19365
2024,25,1,406,208,19573
2024,25,1,405,210,19783
2024,25,1,404,194,19977
2024,25,1,403,209,20186
2024,25,1,402,219,20405
2024,25,1,401,220,20625
2024,25,1,400,202,20827
2024,25,1,399,199,21026
2024,25,1,398,253,21279
2024,25,1,397,213,21492
2024,25,1,396,213,21705
2024,25,1,395,217,21922
2024,25,1,394,229,22151
2024,25,1,393,191,22342
2024,25,1,392,217,22559
2024,25,1,391,213,22772
2024,25,1,390,204,22976
2024,25,1,389,224,23200
2024,25,1,388,223,23423
2024,25,1,387,184,23607
2024,25,1,386,248,23855
2024,25,1,385,225,24080
2024,25,1,384,219,24299
2024,25,1,383,215,24514
2024,25,1,382,208,24722
2024,25,1,381,225,24947
2024,25,1,380,225,25172
2024,25,1,379,230,25402
2024,25,1,378,197,25599
2024,25,1,377,201,25800
2024,25,1,376,231,26031
2024,25,1,375,208,26239
2024,25,1,374,225,26464
2024,25,1,373,218,26682
2024,25,1,372,238,26920
2024,25,1,371,212,27132
2024,25,1,370,178,27310
2024,25,1,369,223,27533
2024,25,1,368,208,27741
2024,25,1,367,207,27948
2024,25,1,366,204,28152
2024,25,1,365,220,28372
2024,25,1,364,206,28578
2024,25,1,363,195,28773
2024,25,1,362,210,28983
2024,25,1,361,194,29177
2024,25,1,360,192,29369
2024,25,1,359,192,29561
2024,25,1,358,202,29763
2024,25,1,357,218,29981
2024,25,1,356,209,30190
2024,25,1,355,186,30376
2024,25,1,354,194,30570
2024,25,1,353,219,30789
2024,25,1,352,185,30974
2024,25,1,351,187,31161
2024,25,1,350,183,31344
2024,25,1,349,182,31526
2024,25,1,348,167,31693
2024,25,1,347,172,31865
2024,25,1,346,177,32042
2024,25,1,345,171,32213
2024,25,1,344,177,32390
2024,25,1,343,194,32584
2024,25,1,342,187,32771
2024,25,1,341,171,32942
2024,25,1,340,167,33109
2024,25,1,339,183,33292
2024,25,1,338,143,33435
2024,25,1,337,177,33612
2024,25,1,336,180,33792
2024,25,1,335,178,33970
2024,25,1,334,181,34151
2024,25,1,333,153,34304
2024,25,1,332,166,34470
2024,25,1,331,180,34650
2024,25,1,330,193,34843
2024,25,1,329,173,35016
2024,25,1,328,158,35174
2024,25,1,327,141,35315
