year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,22,1,699,36,36
2024,22,1,698,12,48
2024,22,1,697,10,58
2024,22,1,696,12,70
2024,22,1,695,16,86
2024,22,1,694,12,98
2024,22,1,693,20,118
2024,22,1,692,19,137
2024,22,1,691,20,157
2024,22,1,690,29,186
2024,22,1,689,35,221
2024,22,1,688,31,252
2024,22,1,687,36,288
2024,22,1,686,41,329
2024,22,1,685,39,368
2024,22,1,684,41,409
2024,22,1,683,41,450
2024,22,1,682,46,496
2024,22,1,681,44,540
2024,22,1,680,61,601
2024,22,1,679,49,650
2024,22,1,678,75,725
2024,22,1,677,67,792
2024,22,1,676,82,874
2024,22,1,675,94,968
2024,22,1,674,89,1057
2024,22,1,673,95,1152
2024,22,1,672,97,1249
2024,22,1,671,100,1349
2024,22,1,670,105,1454
2024,22,1,669,110,1564
2024,22,1,668,140,1704
2024,22,1,667,117,1821
2024,22,1,666,120,1941
2024,22,1,665,136,2077
2024,22,1,664,139,2216
2024,22,1,663,155,2371
2024,22,1,662,174,2545
2024,22,1,661,183,2728
2024,22,1,660,196,2924
2024,22,1,659,186,3110
2024,22,1,658,183,3293
2024,22,1,657,174,3467
2024,22,1,656,209,3676
2024,22,1,655,187,3863
2024,22,1,654,220,4083
2024,22,1,653,219,4302
2024,22,1,652,230,4532
2024,22,1,651,218,4750
2024,22,1,650,235,4985
2024,22,1,649,235,5220
2024,22,1,648,250,5470
2024,22,1,647,257,5727
2024,22,1,646,258,5985
2024,22,1,645,286,6271
2024,22,1,644,292,6563
2024,22,1,643,287,6850
2024,22,1,642,295,7145
2024,22,1,641,295,7440
2024,22,1,640,337,7777
2024,22,1,639,305,8082
2024,22,1,638,332,8414
2024,22,1,637,346,8760
2024,22,1,636,346,9106
2024,22,1,635,354,9460
2024,22,1,634,370,9830
2024,22,1,633,352,10182
2024,22,1,632,381,10563
2024,22,1,631,377,10940
2024,22,1,630,375,11315
2024,22,1,629,379,11694
2024,22,1,628,411,12105
2024,22,1,627,398,12503
2024,22,1,626,428,12931
2024,22,1,625,430,13361
2024,22,1,624,440,13801
2024,22,1,623,436,14237
2024,22,1,622,397,14634
2024,22,1,621,378,15012
2024,22,1,620,431,15443
2024,22,1,619,443,15886
2024,22,1,618,415,16301
2024,22,1,617,468,16769
2024,22,1,616,473,17242
2024,22,1,615,440,17682
2024,22,1,614,500,18182
2024,22,1,613,494,18676
2024,22,1,612,520,19196
2024,22,1,611,513,19709
2024,22,1,610,487,20196
2024,22,1,609,553,20749
2024,22,1,608,528,21277
2024,22,1,607,535,21812
2024,22,1,606,575,22387
2024,22,1,605,579,22966
2024,22,1,604,584,23550
2024,22,1,603,613,24163
2024,22,1,602,554,24717
2024,22,1,601,542,25259
2024,22,1,600,559,25818
2024,22,1,599,562,26380
2024,22,1,598,603,26983
2024,22,1,597,594,27577
2024,22,1,596,610,28187
2024,22,1,595,606,28793
2024,22,1,594,607,29400
2024,22,1,593,632,30032
2024,22,1,592,658,30690
2024,22,1,591,669,31359
2024,22,1,590,651,32010
2024,22,1,589,671,32681
2024,22,1,588,668,33349
2024,22,1,587,685,34034
2024,22,1,586,662,34696
2024,22,1,585,679,35375
2024,22,1,584,666,36041
2024,22,1,583,694,36735
2024,22,1,582,685,37420
2024,22,1,581,741,38161
2024,22,1,580,697,38858
2024,22,1,579,758,39616
2024,22,1,578,722,40338
2024,22,1,577,755,41093
2024,22,1,576,708,41801
2024,22,1,575,724,42525
2024,22,1,574,777,43302
2024,22,1,573,798,44100
2024,22,1,572,786,44886
2024,22,1,571,798,45684
2024,22,1,570,851,46535
2024,22,1,569,788,47323
2024,22,1,568,860,48183
2024,22,1,567,882,49065
2024,22,1,566,845,49910
2024,22,1,565,900,50810
2024,22,1,564,834,51644
2024,22,1,563,862,52506
2024,22,1,562,864,53370
2024,22,1,561,944,54314
2024,22,1,560,913,55227
2024,22,1,559,890,56117
2024,22,1,558,903,57020
2024,22,1,557,938,57958
2024,22,1,556,964,58922
2024,22,1,555,931,59853
2024,22,1,554,1037,60890
2024,22,1,553,992,61882
2024,22,1,552,960,62842
2024,22,1,551,984,63826
2024,22,1,550,992,64818
2024,22,1,549,1045,65863
2024,22,1,548,1060,66923
2024,22,1,547,975,67898
2024,22,1,546,1040,68938
2024,22,1,545,1044,69982
2024,22,1,544,1103,71085
2024,22,1,543,1109,72194
2024,22,1,542,1104,73298
2024,22,1,541,1092,74390
