year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,7,1,699,12,12
2024,7,1,698,2,14
2024,7,1,697,3,17
2024,7,1,696,2,19
2024,7,1,695,9,28
2024,7,1,694,3,31
2024,7,1,693,2,33
2024,7,1,692,4,37
2024,7,1,691,3,40
2024,7,1,690,8,48
2024,7,1,689,10,58
2024,7,1,688,7,65
2024,7,1,687,9,74
2024,7,1,686,17,91
2024,7,1,685,13,104
2024,7,1,684,19,123
2024,7,1,683,13,136
2024,7,1,682,13,149
2024,7,1,681,14,163
2024,7,1,680,13,176
2024,7,1,679,11,187
2024,7,1,678,19,206
2024,7,1,677,10,216
2024,7,1,676,12,228
2024,7,1,675,28,256
2024,7,1,674,30,286
2024,7,1,673,29,315
2024,7,1,672,25,340
2024,7,1,671,25,365
2024,7,1,670,21,386
2024,7,1,669,36,422
2024,7,1,668,32,454
2024,7,1,667,22,476
2024,7,1,666,27,503
2024,7,1,665,32,535
2024,7,1,664,42,577
2024,7,1,663,41,618
2024,7,1,662,36,654
2024,7,1,661,34,688
2024,7,1,660,51,739
2024,7,1,659,44,783
2024,7,1,658,50,833
2024,7,1,657,39,872
2024,7,1,656,53,925
2024,7,1,655,50,975
2024,7,1,654,58,1033
2024,7,1,653,51,1084
2024,7,1,652,48,1132
2024,7,1,651,59,1191
2024,7,1,650,63,1254
2024,7,1,649,61,1315
2024,7,1,648,60,1375
2024,7,1,647,65,1440
2024,7,1,646,54,1494
2024,7,1,645,81,1575
2024,7,1,644,60,1635
2024,7,1,643,87,1722
2024,7,1,642,78,1800
2024,7,1,641,84,1884
2024,7,1,640,81,1965
2024,7,1,639,72,2037
2024,7,1,638,68,2105
2024,7,1,637,104,2209
2024,7,1,636,88,2297
2024,7,1,635,93,2390
2024,7,1,634,97,2487
2024,7,1,633,108,2595
2024,7,1,632,102,2697
2024,7,1,631,81,2778
2024,7,1,630,119,2897
2024,7,1,629,107,3004
2024,7,1,628,121,3125
2024,7,1,627,109,3234
2024,7,1,626,141,3375
2024,7,1,625,123,3498
2024,7,1,624,103,3601
2024,7,1,623,129,3730
2024,7,1,622,151,3881
2024,7,1,621,138,4019
2024,7,1,620,140,4159
2024,7,1,619,128,4287
2024,7,1,618,147,4434
2024,7,1,617,140,4574
2024,7,1,616,181,4755
2024,7,1,615,182,4937
2024,7,1,614,179,5116
2024,7,1,613,192,5308
2024,7,1,612,171,5479
2024,7,1,611,177,5656
2024,7,1,610,178,5834
2024,7,1,609,181,6015
2024,7,1,608,190,6205
2024,7,1,607,191,6396
2024,7,1,606,190,6586
2024,7,1,605,192,6778
2024,7,1,604,190,6968
2024,7,1,603,203,7171
2024,7,1,602,171,7342
2024,7,1,601,200,7542
2024,7,1,600,219,7761
2024,7,1,599,228,7989
2024,7,1,598,204,8193
2024,7,1,597,214,8407
2024,7,1,596,219,8626
2024,7,1,595,224,8850
2024,7,1,594,208,9058
2024,7,1,593,250,9308
2024,7,1,592,212,9520
2024,7,1,591,267,9787
2024,7,1,590,271,10058
2024,7,1,589,276,10334
2024,7,1,588,237,10571
2024,7,1,587,285,10856
2024,7,1,586,288,11144
2024,7,1,585,265,11409
2024,7,1,584,270,11679
2024,7,1,583,269,11948
2024,7,1,582,293,12241
2024,7,1,581,320,12561
2024,7,1,580,313,12874
2024,7,1,579,275,13149
2024,7,1,578,283,13432
2024,7,1,577,287,13719
2024,7,1,576,329,14048
2024,7,1,575,332,14380
2024,7,1,574,321,14701
2024,7,1,573,303,15004
2024,7,1,572,340,15344
2024,7,1,571,346,15690
