year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,19,2,665,20 ,20 
2024,19,2,664 ,3 ,23 
2024,19,2,663 ,6 ,29 
2024,19,2,662 ,6 ,35 
2024,19,2,661 ,5 ,40 
2024,19,2,660 ,6 ,46 
2024,19,2,659 ,7 ,53 
2024,19,2,658 ,3 ,56 
2024,19,2,657 ,9 ,65 
2024,19,2,656 ,11 ,76 
2024,19,2,655 ,11 ,87 
2024,19,2,654 ,14 ,101 
2024,19,2,653 ,6 ,107 
2024,19,2,652 ,11 ,118 
2024,19,2,651 ,9 ,127 
2024,19,2,650 ,13 ,140 
2024,19,2,649 ,9 ,149 
2024,19,2,648 ,13 ,162 
2024,19,2,647 ,14 ,176 
2024,19,2,646 ,10 ,186 
2024,19,2,645 ,17 ,203 
2024,19,2,644 ,20 ,223 
2024,19,2,643 ,17 ,240 
2024,19,2,642 ,4 ,244 
2024,19,2,641 ,12 ,256 
2024,19,2,640 ,24 ,280 
2024,19,2,639 ,22 ,302 
2024,19,2,638 ,29 ,331 
2024,19,2,637 ,29 ,360 
2024,19,2,636 ,25 ,385 
2024,19,2,635 ,24 ,409 
2024,19,2,634 ,33 ,442 
2024,19,2,633 ,36 ,478 
2024,19,2,632 ,29 ,507 
2024,19,2,631 ,41 ,548 
2024,19,2,630 ,45 ,593 
2024,19,2,629 ,37 ,630 
2024,19,2,628 ,49 ,679 
2024,19,2,627 ,43 ,722 
2024,19,2,626 ,54 ,776 
2024,19,2,625 ,52 ,828 
2024,19,2,624 ,52 ,880 
2024,19,2,623 ,67 ,947 
2024,19,2,622 ,73 ,1020 
2024,19,2,621 ,45 ,1065 
2024,19,2,620 ,87 ,1152 
2024,19,2,619 ,45 ,1197 
2024,19,2,618 ,77 ,1274 
2024,19,2,617 ,80 ,1354 
2024,19,2,616 ,60 ,1414 
2024,19,2,615 ,80 ,1494 
2024,19,2,614 ,72 ,1566 
2024,19,2,613 ,91 ,1657 
2024,19,2,612 ,83 ,1740 
2024,19,2,611 ,80 ,1820 
2024,19,2,610 ,101 ,1921 
2024,19,2,609 ,84 ,2005 
2024,19,2,608 ,92 ,2097 
2024,19,2,607 ,122 ,2219 
2024,19,2,606 ,140 ,2359 
2024,19,2,605 ,107 ,2466 
2024,19,2,604 ,116 ,2582 
2024,19,2,603 ,113 ,2695 
2024,19,2,602 ,122 ,2817 
2024,19,2,601 ,128 ,2945 
2024,19,2,600 ,101 ,3046 
2024,19,2,599 ,135 ,3181 
2024,19,2,598 ,120 ,3301 
2024,19,2,597 ,122 ,3423 
2024,19,2,596 ,121 ,3544 
2024,19,2,595 ,165 ,3709 
2024,19,2,594 ,163 ,3872 
2024,19,2,593 ,152 ,4024 
2024,19,2,592 ,165 ,4189 
2024,19,2,591 ,166 ,4355 
2024,19,2,590 ,168 ,4523 
2024,19,2,589 ,151 ,4674 
2024,19,2,588 ,164 ,4838 
2024,19,2,587 ,177 ,5015 
2024,19,2,586 ,183 ,5198 
2024,19,2,585 ,200 ,5398 
2024,19,2,584 ,196 ,5594 
2024,19,2,583 ,207 ,5801 
2024,19,2,582 ,187 ,5988 
2024,19,2,581 ,210 ,6198 
2024,19,2,580 ,194 ,6392 
2024,19,2,579 ,204 ,6596 
2024,19,2,578 ,236 ,6832 
2024,19,2,577 ,214 ,7046 
2024,19,2,576 ,242 ,7288 
2024,19,2,575 ,240 ,7528 
2024,19,2,574 ,230 ,7758 
2024,19,2,573 ,231 ,7989 
2024,19,2,572 ,237 ,8226 
2024,19,2,571 ,249 ,8475 
2024,19,2,570 ,279 ,8754 
2024,19,2,569 ,246 ,9000 
2024,19,2,568 ,245 ,9245 
2024,19,2,567 ,245 ,9490 
2024,19,2,566 ,225 ,9715 
2024,19,2,565 ,271 ,9986 
2024,19,2,564 ,297 ,10283 
2024,19,2,563 ,288 ,10571 
2024,19,2,562 ,313 ,10884 
2024,19,2,561 ,250 ,11134 
2024,19,2,560 ,320 ,11454 
2024,19,2,559 ,319 ,11773 
2024,19,2,558 ,313 ,12086 
2024,19,2,557 ,315 ,12401 
2024,19,2,556 ,340 ,12741 
2024,19,2,555 ,312 ,13053 
2024,19,2,554 ,335 ,13388 
2024,19,2,553 ,308 ,13696 
2024,19,2,552 ,346 ,14042 
2024,19,2,551 ,350 ,14392 
2024,19,2,550 ,386 ,14778 
2024,19,2,549 ,325 ,15103 
2024,19,2,548 ,373 ,15476 
2024,19,2,547 ,391 ,15867 
2024,19,2,546 ,426 ,16293 
2024,19,2,545 ,354 ,16647 
2024,19,2,544 ,419 ,17066 
2024,19,2,543 ,374 ,17440 
2024,19,2,542 ,367 ,17807 
2024,19,2,541 ,418 ,18225 
2024,19,2,540 ,389 ,18614 
2024,19,2,539 ,426 ,19040 
2024,19,2,538 ,394 ,19434 
2024,19,2,537 ,456 ,19890 
2024,19,2,536 ,422 ,20312 
2024,19,2,535 ,408 ,20720 
2024,19,2,534 ,404 ,21124 
2024,19,2,533 ,449 ,21573 
2024,19,2,532 ,420 ,21993 
2024,19,2,531 ,455 ,22448 
2024,19,2,530 ,456 ,22904 
2024,19,2,529 ,502 ,23406 
2024,19,2,528 ,434 ,23840 
2024,19,2,527 ,463 ,24303 
2024,19,2,526 ,493 ,24796 
2024,19,2,525 ,510 ,25306 
2024,19,2,524 ,486 ,25792 
2024,19,2,523 ,505 ,26297 
2024,19,2,522 ,470 ,26767 
2024,19,2,521 ,501 ,27268 
2024,19,2,520 ,473 ,27741 
2024,19,2,519 ,506 ,28247 
2024,19,2,518 ,527 ,28774 
2024,19,2,517 ,540 ,29314 
2024,19,2,516 ,583 ,29897 
2024,19,2,515 ,527 ,30424 
2024,19,2,514 ,557 ,30981 
2024,19,2,513 ,515 ,31496 
2024,19,2,512 ,567 ,32063 
2024,19,2,511 ,570 ,32633 
2024,19,2,510 ,530 ,33163 
2024,19,2,509 ,615 ,33778 
2024,19,2,508 ,546 ,34324 
2024,19,2,507 ,604 ,34928 
2024,19,2,506 ,602 ,35530 
2024,19,2,505 ,589 ,36119 
2024,19,2,504 ,639 ,36758 
2024,19,2,503 ,629 ,37387 
2024,19,2,502 ,655 ,38042 
2024,19,2,501 ,616 ,38658 
2024,19,2,500 ,624 ,39282 
2024,19,2,499 ,641 ,39923 
2024,19,2,498 ,616 ,40539 
2024,19,2,497 ,646 ,41185 
2024,19,2,496 ,656 ,41841 
2024,19,2,495 ,629 ,42470 
2024,19,2,494 ,650 ,43120 
2024,19,2,493 ,648 ,43768 
2024,19,2,492 ,669 ,44437 
