year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,24,2,670,21,21
2024,24,2,668,2,23
2024,24,2,667,3,26
2024,24,2,666,4,30
2024,24,2,665,6,36
2024,24,2,663,5,41
2024,24,2,662,2,43
2024,24,2,661,2,45
2024,24,2,660,2,47
2024,24,2,659,1,48
2024,24,2,658,9,57
2024,24,2,657,5,62
2024,24,2,656,2,64
2024,24,2,655,7,71
2024,24,2,654,7,78
2024,24,2,653,6,84
2024,24,2,652,3,87
2024,24,2,651,7,94
2024,24,2,650,3,97
2024,24,2,649,5,102
2024,24,2,648,10,112
2024,24,2,647,5,117
2024,24,2,646,7,124
2024,24,2,645,5,129
2024,24,2,644,9,138
2024,24,2,643,14,152
2024,24,2,642,14,166
2024,24,2,641,13,179
2024,24,2,640,14,193
2024,24,2,639,7,200
2024,24,2,638,13,213
2024,24,2,637,12,225
2024,24,2,636,15,240
2024,24,2,635,17,257
2024,24,2,634,9,266
2024,24,2,633,13,279
2024,24,2,632,20,299
2024,24,2,631,22,321
2024,24,2,630,20,341
2024,24,2,629,17,358
2024,24,2,628,23,381
2024,24,2,627,19,400
2024,24,2,626,21,421
2024,24,2,625,17,438
2024,24,2,624,27,465
2024,24,2,623,27,492
2024,24,2,622,28,520
2024,24,2,621,31,551
2024,24,2,620,31,582
2024,24,2,619,31,613
2024,24,2,618,28,641
2024,24,2,617,36,677
2024,24,2,616,30,707
2024,24,2,615,32,739
2024,24,2,614,24,763
2024,24,2,613,43,806
2024,24,2,612,39,845
2024,24,2,611,35,880
2024,24,2,610,49,929
2024,24,2,609,52,981
2024,24,2,608,52,1033
2024,24,2,607,45,1078
2024,24,2,606,52,1130
2024,24,2,605,34,1164
2024,24,2,604,51,1215
2024,24,2,603,36,1251
2024,24,2,602,54,1305
2024,24,2,601,46,1351
2024,24,2,600,53,1404
2024,24,2,599,51,1455
2024,24,2,598,51,1506
2024,24,2,597,40,1546
2024,24,2,596,61,1607
2024,24,2,595,66,1673
2024,24,2,594,54,1727
2024,24,2,593,66,1793
2024,24,2,592,74,1867
2024,24,2,591,74,1941
2024,24,2,590,70,2011
2024,24,2,589,59,2070
2024,24,2,588,68,2138
2024,24,2,587,73,2211
2024,24,2,586,87,2298
2024,24,2,585,90,2388
2024,24,2,584,76,2464
2024,24,2,583,91,2555
2024,24,2,582,96,2651
2024,24,2,581,77,2728
2024,24,2,580,76,2804
2024,24,2,579,97,2901
2024,24,2,578,95,2996
2024,24,2,577,85,3081
2024,24,2,576,94,3175
2024,24,2,575,101,3276
2024,24,2,574,89,3365
2024,24,2,573,93,3458
2024,24,2,572,125,3583
2024,24,2,571,95,3678
2024,24,2,570,109,3787
2024,24,2,569,96,3883
2024,24,2,568,122,4005
2024,24,2,567,113,4118
2024,24,2,566,118,4236
2024,24,2,565,100,4336
2024,24,2,564,125,4461
2024,24,2,563,130,4591
2024,24,2,562,138,4729
2024,24,2,561,130,4859
2024,24,2,560,139,4998
2024,24,2,559,122,5120
2024,24,2,558,133,5253
2024,24,2,557,155,5408
2024,24,2,556,135,5543
2024,24,2,555,141,5684
2024,24,2,554,150,5834
2024,24,2,553,111,5945
2024,24,2,552,161,6106
2024,24,2,551,151,6257
2024,24,2,550,163,6420
2024,24,2,549,145,6565
2024,24,2,548,151,6716
2024,24,2,547,165,6881
2024,24,2,546,142,7023
2024,24,2,545,164,7187
2024,24,2,544,180,7367
2024,24,2,543,147,7514
2024,24,2,542,152,7666
2024,24,2,541,191,7857
2024,24,2,540,180,8037
2024,24,2,539,162,8199
2024,24,2,538,161,8360
2024,24,2,537,176,8536
2024,24,2,536,163,8699
2024,24,2,535,191,8890
2024,24,2,534,180,9070
2024,24,2,533,213,9283
2024,24,2,532,192,9475
2024,24,2,531,211,9686
2024,24,2,530,196,9882
2024,24,2,529,203,10085
2024,24,2,528,197,10282
2024,24,2,527,204,10486
2024,24,2,526,176,10662
2024,24,2,525,168,10830
2024,24,2,524,185,11015
2024,24,2,523,194,11209
2024,24,2,522,202,11411
2024,24,2,521,203,11614
2024,24,2,520,228,11842
2024,24,2,519,208,12050
2024,24,2,518,194,12244
