year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,23,1,686,26,26
2024,23,1,685,3,29
2024,23,1,684,5,34
2024,23,1,683,7,41
2024,23,1,682,10,51
2024,23,1,681,6,57
2024,23,1,680,7,64
2024,23,1,679,9,73
2024,23,1,678,11,84
2024,23,1,677,11,95
2024,23,1,676,9,104
2024,23,1,675,12,116
2024,23,1,674,15,131
2024,23,1,673,9,140
2024,23,1,672,22,162
2024,23,1,671,16,178
2024,23,1,670,20,198
2024,23,1,669,16,214
2024,23,1,668,20,234
2024,23,1,667,13,247
2024,23,1,666,22,269
2024,23,1,665,21,290
2024,23,1,664,23,313
2024,23,1,663,32,345
2024,23,1,662,21,366
2024,23,1,661,31,397
2024,23,1,660,38,435
2024,23,1,659,38,473
2024,23,1,658,34,507
2024,23,1,657,28,535
2024,23,1,656,33,568
2024,23,1,655,41,609
2024,23,1,654,50,659
2024,23,1,653,52,711
2024,23,1,652,48,759
2024,23,1,651,42,801
2024,23,1,650,62,863
2024,23,1,649,44,907
2024,23,1,648,49,956
2024,23,1,647,56,1012
2024,23,1,646,56,1068
2024,23,1,645,79,1147
2024,23,1,644,50,1197
2024,23,1,643,60,1257
2024,23,1,642,67,1324
2024,23,1,641,69,1393
2024,23,1,640,62,1455
2024,23,1,639,68,1523
2024,23,1,638,83,1606
2024,23,1,637,88,1694
2024,23,1,636,99,1793
2024,23,1,635,107,1900
2024,23,1,634,83,1983
2024,23,1,633,99,2082
2024,23,1,632,110,2192
2024,23,1,631,99,2291
2024,23,1,630,101,2392
2024,23,1,629,113,2505
2024,23,1,628,118,2623
2024,23,1,627,121,2744
2024,23,1,626,117,2861
2024,23,1,625,119,2980
2024,23,1,624,116,3096
2024,23,1,623,138,3234
2024,23,1,622,146,3380
2024,23,1,621,146,3526
2024,23,1,620,152,3678
2024,23,1,619,151,3829
2024,23,1,618,142,3971
2024,23,1,617,159,4130
2024,23,1,616,159,4289
2024,23,1,615,159,4448
2024,23,1,614,171,4619
2024,23,1,613,202,4821
2024,23,1,612,160,4981
2024,23,1,611,185,5166
2024,23,1,610,191,5357
2024,23,1,609,203,5560
2024,23,1,608,211,5771
2024,23,1,607,190,5961
2024,23,1,606,224,6185
2024,23,1,605,218,6403
2024,23,1,604,202,6605
2024,23,1,603,228,6833
2024,23,1,602,245,7078
2024,23,1,601,238,7316
2024,23,1,600,238,7554
2024,23,1,599,228,7782
2024,23,1,598,239,8021
2024,23,1,597,247,8268
2024,23,1,596,242,8510
2024,23,1,595,273,8783
2024,23,1,594,260,9043
2024,23,1,593,263,9306
2024,23,1,592,263,9569
2024,23,1,591,295,9864
2024,23,1,590,286,10150
2024,23,1,589,278,10428
2024,23,1,588,300,10728
2024,23,1,587,305,11033
2024,23,1,586,317,11350
2024,23,1,585,347,11697
2024,23,1,584,306,12003
2024,23,1,583,306,12309
2024,23,1,582,326,12635
2024,23,1,581,334,12969
2024,23,1,580,325,13294
2024,23,1,579,385,13679
2024,23,1,578,368,14047
2024,23,1,577,347,14394
2024,23,1,576,354,14748
2024,23,1,575,379,15127
2024,23,1,574,396,15523
2024,23,1,573,348,15871
2024,23,1,572,365,16236
2024,23,1,571,378,16614
2024,23,1,570,422,17036
2024,23,1,569,407,17443
2024,23,1,568,394,17837
2024,23,1,567,406,18243
2024,23,1,566,427,18670
2024,23,1,565,461,19131
2024,23,1,564,401,19532
2024,23,1,563,435,19967
2024,23,1,562,425,20392
2024,23,1,561,465,20857
2024,23,1,560,452,21309
2024,23,1,559,427,21736
2024,23,1,558,426,22162
2024,23,1,557,451,22613
2024,23,1,556,482,23095
2024,23,1,555,501,23596
2024,23,1,554,456,24052
2024,23,1,553,488,24540
2024,23,1,552,490,25030
2024,23,1,551,482,25512
2024,23,1,550,490,26002
2024,23,1,549,494,26496
2024,23,1,548,497,26993
2024,23,1,547,531,27524
2024,23,1,546,540,28064
2024,23,1,545,528,28592
2024,23,1,544,506,29098
2024,23,1,543,526,29624
2024,23,1,542,537,30161
2024,23,1,541,564,30725
2024,23,1,540,538,31263
2024,23,1,539,620,31883
2024,23,1,538,579,32462
2024,23,1,537,569,33031
2024,23,1,536,537,33568
2024,23,1,535,540,34108
2024,23,1,534,525,34633
2024,23,1,533,546,35179
2024,23,1,532,626,35805
2024,23,1,531,596,36401
2024,23,1,530,578,36979
2024,23,1,529,617,37596
2024,23,1,528,585,38181
2024,23,1,527,600,38781
2024,23,1,526,600,39381
