year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,8,2,665,20,20
2024,8,2,664,2,22
2024,8,2,663,3,25
2024,8,2,662,1,26
2024,8,2,661,1,27
2024,8,2,660,1,28
2024,8,2,659,3,31
2024,8,2,658,7,38
2024,8,2,657,2,40
2024,8,2,656,5,45
2024,8,2,655,3,48
2024,8,2,654,5,53
2024,8,2,653,13,66
2024,8,2,652,8,74
2024,8,2,651,10,84
2024,8,2,650,3,87
2024,8,2,649,8,95
2024,8,2,648,10,105
2024,8,2,647,7,112
2024,8,2,646,12,124
2024,8,2,645,10,134
2024,8,2,644,15,149
2024,8,2,643,19,168
2024,8,2,642,10,178
2024,8,2,641,10,188
2024,8,2,640,17,205
2024,8,2,639,25,230
2024,8,2,638,20,250
2024,8,2,637,16,266
2024,8,2,636,15,281
2024,8,2,635,23,304
2024,8,2,634,20,324
2024,8,2,633,20,344
2024,8,2,632,21,365
2024,8,2,631,41,406
2024,8,2,630,26,432
2024,8,2,629,37,469
2024,8,2,628,29,498
2024,8,2,627,23,521
2024,8,2,626,32,553
2024,8,2,625,35,588
2024,8,2,624,31,619
2024,8,2,623,36,655
2024,8,2,622,52,707
2024,8,2,621,51,758
2024,8,2,620,34,792
2024,8,2,619,33,825
2024,8,2,618,49,874
2024,8,2,617,39,913
2024,8,2,616,50,963
2024,8,2,615,48,1011
2024,8,2,614,51,1062
2024,8,2,613,54,1116
2024,8,2,612,56,1172
2024,8,2,611,63,1235
2024,8,2,610,52,1287
2024,8,2,609,86,1373
2024,8,2,608,52,1425
2024,8,2,607,60,1485
2024,8,2,606,67,1552
2024,8,2,605,68,1620
2024,8,2,604,65,1685
2024,8,2,603,77,1762
2024,8,2,602,58,1820
2024,8,2,601,87,1907
2024,8,2,600,77,1984
2024,8,2,599,86,2070
2024,8,2,598,86,2156
2024,8,2,597,88,2244
2024,8,2,596,84,2328
2024,8,2,595,87,2415
2024,8,2,594,91,2506
2024,8,2,593,89,2595
2024,8,2,592,111,2706
2024,8,2,591,119,2825
2024,8,2,590,102,2927
2024,8,2,589,135,3062
2024,8,2,588,122,3184
2024,8,2,587,116,3300
2024,8,2,586,120,3420
2024,8,2,585,108,3528
2024,8,2,584,142,3670
2024,8,2,583,117,3787
2024,8,2,582,131,3918
2024,8,2,581,123,4041
2024,8,2,580,137,4178
2024,8,2,579,159,4337
2024,8,2,578,173,4510
2024,8,2,577,160,4670
2024,8,2,576,159,4829
2024,8,2,575,157,4986
2024,8,2,574,181,5167
2024,8,2,573,174,5341
2024,8,2,572,153,5494
2024,8,2,571,200,5694
2024,8,2,570,161,5855
2024,8,2,569,178,6033
2024,8,2,568,197,6230
2024,8,2,567,181,6411
2024,8,2,566,216,6627
2024,8,2,565,217,6844
2024,8,2,564,217,7061
2024,8,2,563,228,7289
2024,8,2,562,237,7526
2024,8,2,561,247,7773
2024,8,2,560,234,8007
2024,8,2,559,236,8243
2024,8,2,558,242,8485
2024,8,2,557,256,8741
2024,8,2,556,247,8988
2024,8,2,555,246,9234
2024,8,2,554,243,9477
2024,8,2,553,257,9734
2024,8,2,552,262,9996
2024,8,2,551,263,10259
2024,8,2,550,309,10568
2024,8,2,549,266,10834
2024,8,2,548,275,11109
2024,8,2,547,315,11424
2024,8,2,546,286,11710
2024,8,2,545,294,12004
2024,8,2,544,306,12310
2024,8,2,543,306,12616
2024,8,2,542,327,12943
2024,8,2,541,309,13252
2024,8,2,540,326,13578
2024,8,2,539,334,13912
2024,8,2,538,330,14242
2024,8,2,537,351,14593
2024,8,2,536,355,14948
2024,8,2,535,356,15304
2024,8,2,534,389,15693
2024,8,2,533,383,16076
2024,8,2,532,384,16460
2024,8,2,531,397,16857
2024,8,2,530,410,17267
2024,8,2,529,417,17684
2024,8,2,528,415,18099
2024,8,2,527,441,18540
2024,8,2,526,433,18973
2024,8,2,525,429,19402
2024,8,2,524,428,19830
2024,8,2,523,442,20272
2024,8,2,522,445,20717
2024,8,2,521,455,21172
2024,8,2,520,427,21599
2024,8,2,519,452,22051
2024,8,2,518,479,22530
2024,8,2,517,466,22996
2024,8,2,516,491,23487
2024,8,2,515,505,23992
2024,8,2,514,483,24475
2024,8,2,513,467,24942
2024,8,2,512,462,25404
2024,8,2,511,510,25914
2024,8,2,510,519,26433
2024,8,2,509,497,26930
2024,8,2,508,523,27453
2024,8,2,507,493,27946
2024,8,2,506,576,28522
2024,8,2,505,524,29046
2024,8,2,504,501,29547
2024,8,2,503,500,30047
2024,8,2,502,546,30593
2024,8,2,501,535,31128
2024,8,2,500,552,31680
2024,8,2,499,544,32224
2024,8,2,498,527,32751
2024,8,2,497,546,33297
2024,8,2,496,545,33842
2024,8,2,495,592,34434
2024,8,2,494,571,35005
2024,8,2,493,573,35578
2024,8,2,492,565,36143
2024,8,2,491,549,36692
2024,8,2,490,553,37245
2024,8,2,489,566,37811
2024,8,2,488,560,38371
2024,8,2,487,608,38979
2024,8,2,486,496,39475
2024,8,2,485,650,40125
2024,8,2,484,579,40704
2024,8,2,483,573,41277
2024,8,2,482,580,41857
2024,8,2,481,595,42452
2024,8,2,480,572,43024
2024,8,2,479,581,43605
2024,8,2,478,544,44149
2024,8,2,477,547,44696
2024,8,2,476,596,45292
2024,8,2,475,561,45853
2024,8,2,474,578,46431
2024,8,2,473,553,46984
2024,8,2,472,599,47583
2024,8,2,471,611,48194
2024,8,2,470,592,48786
2024,8,2,469,575,49361
2024,8,2,468,537,49898
2024,8,2,467,573,50471
2024,8,2,466,549,51020
2024,8,2,465,557,51577
2024,8,2,464,549,52126
2024,8,2,463,618,52744
2024,8,2,462,561,53305
2024,8,2,461,585,53890
2024,8,2,460,602,54492
2024,8,2,459,558,55050
2024,8,2,458,570,55620
2024,8,2,457,614,56234
2024,8,2,456,562,56796
2024,8,2,455,578,57374
2024,8,2,454,596,57970
2024,8,2,453,578,58548
2024,8,2,452,577,59125
2024,8,2,451,574,59699
2024,8,2,450,547,60246
2024,8,2,449,558,60804
2024,8,2,448,565,61369
2024,8,2,447,588,61957
2024,8,2,446,568,62525
2024,8,2,445,571,63096
2024,8,2,444,549,63645
2024,8,2,443,540,64185
2024,8,2,442,548,64733
2024,8,2,441,547,65280
2024,8,2,440,565,65845
2024,8,2,439,559,66404
2024,8,2,438,564,66968
2024,8,2,437,580,67548
2024,8,2,436,523,68071
2024,8,2,435,589,68660
2024,8,2,434,596,69256
2024,8,2,433,565,69821
2024,8,2,432,602,70423
2024,8,2,431,553,70976
2024,8,2,430,551,71527
2024,8,2,429,544,72071
2024,8,2,428,567,72638
2024,8,2,427,547,73185
2024,8,2,426,561,73746
2024,8,2,425,538,74284
2024,8,2,424,607,74891
2024,8,2,423,576,75467
2024,8,2,422,571,76038
2024,8,2,421,585,76623
2024,8,2,420,609,77232
2024,8,2,419,626,77858
2024,8,2,418,605,78463
2024,8,2,417,596,79059
2024,8,2,416,610,79669
2024,8,2,415,570,80239
2024,8,2,414,592,80831
2024,8,2,413,587,81418
2024,8,2,412,629,82047
2024,8,2,411,628,82675
2024,8,2,410,584,83259
2024,8,2,409,610,83869
2024,8,2,408,624,84493
2024,8,2,407,636,85129
2024,8,2,406,661,85790
2024,8,2,405,621,86411
2024,8,2,404,610,87021
2024,8,2,403,563,87584
2024,8,2,402,599,88183
2024,8,2,401,644,88827
2024,8,2,400,655,89482
2024,8,2,399,632,90114
2024,8,2,398,642,90756
2024,8,2,397,656,91412
2024,8,2,396,726,92138
2024,8,2,395,657,92795
2024,8,2,394,681,93476
2024,8,2,393,723,94199
2024,8,2,392,642,94841
2024,8,2,391,692,95533
2024,8,2,390,674,96207
2024,8,2,389,733,96940
2024,8,2,388,708,97648
2024,8,2,387,680,98328
2024,8,2,386,696,99024
2024,8,2,385,752,99776
2024,8,2,384,697,100473
2024,8,2,383,701,101174
