year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,8,1,681,34,34
2024,8,1,680,7,41
2024,8,1,679,11,52
2024,8,1,678,3,55
2024,8,1,677,9,64
2024,8,1,676,17,81
2024,8,1,675,15,96
2024,8,1,674,18,114
2024,8,1,673,17,131
2024,8,1,672,10,141
2024,8,1,671,13,154
2024,8,1,670,12,166
2024,8,1,669,20,186
2024,8,1,668,25,211
2024,8,1,667,19,230
2024,8,1,666,25,255
2024,8,1,665,29,284
2024,8,1,664,25,309
2024,8,1,663,25,334
2024,8,1,662,32,366
2024,8,1,661,36,402
2024,8,1,660,37,439
2024,8,1,659,37,476
2024,8,1,658,40,516
2024,8,1,657,38,554
2024,8,1,656,56,610
2024,8,1,655,47,657
2024,8,1,654,59,716
2024,8,1,653,64,780
2024,8,1,652,66,846
2024,8,1,651,63,909
2024,8,1,650,59,968
2024,8,1,649,77,1045
2024,8,1,648,75,1120
2024,8,1,647,74,1194
2024,8,1,646,83,1277
2024,8,1,645,91,1368
2024,8,1,644,102,1470
2024,8,1,643,114,1584
2024,8,1,642,120,1704
2024,8,1,641,109,1813
2024,8,1,640,100,1913
2024,8,1,639,113,2026
2024,8,1,638,134,2160
2024,8,1,637,137,2297
2024,8,1,636,141,2438
2024,8,1,635,143,2581
2024,8,1,634,145,2726
2024,8,1,633,151,2877
2024,8,1,632,153,3030
2024,8,1,631,179,3209
2024,8,1,630,159,3368
2024,8,1,629,173,3541
2024,8,1,628,166,3707
2024,8,1,627,173,3880
2024,8,1,626,172,4052
2024,8,1,625,209,4261
2024,8,1,624,208,4469
2024,8,1,623,208,4677
2024,8,1,622,230,4907
2024,8,1,621,215,5122
2024,8,1,620,218,5340
2024,8,1,619,256,5596
2024,8,1,618,236,5832
2024,8,1,617,228,6060
2024,8,1,616,228,6288
2024,8,1,615,252,6540
2024,8,1,614,245,6785
2024,8,1,613,276,7061
2024,8,1,612,289,7350
2024,8,1,611,287,7637
2024,8,1,610,272,7909
2024,8,1,609,258,8167
2024,8,1,608,294,8461
2024,8,1,607,330,8791
2024,8,1,606,309,9100
2024,8,1,605,314,9414
2024,8,1,604,336,9750
2024,8,1,603,343,10093
2024,8,1,602,358,10451
2024,8,1,601,356,10807
2024,8,1,600,379,11186
2024,8,1,599,350,11536
2024,8,1,598,367,11903
2024,8,1,597,368,12271
2024,8,1,596,384,12655
2024,8,1,595,409,13064
2024,8,1,594,434,13498
2024,8,1,593,446,13944
2024,8,1,592,414,14358
2024,8,1,591,425,14783
2024,8,1,590,464,15247
2024,8,1,589,477,15724
2024,8,1,588,444,16168
2024,8,1,587,435,16603
2024,8,1,586,466,17069
2024,8,1,585,487,17556
2024,8,1,584,476,18032
2024,8,1,583,461,18493
2024,8,1,582,489,18982
2024,8,1,581,464,19446
2024,8,1,580,551,19997
2024,8,1,579,508,20505
2024,8,1,578,540,21045
2024,8,1,577,530,21575
2024,8,1,576,609,22184
2024,8,1,575,587,22771
2024,8,1,574,557,23328
2024,8,1,573,576,23904
2024,8,1,572,615,24519
2024,8,1,571,589,25108
2024,8,1,570,656,25764
2024,8,1,569,581,26345
2024,8,1,568,552,26897
2024,8,1,567,585,27482
2024,8,1,566,608,28090
2024,8,1,565,600,28690
2024,8,1,564,677,29367
2024,8,1,563,633,30000
2024,8,1,562,651,30651
2024,8,1,561,626,31277
2024,8,1,560,692,31969
2024,8,1,559,676,32645
2024,8,1,558,680,33325
2024,8,1,557,693,34018
2024,8,1,556,697,34715
2024,8,1,555,697,35412
2024,8,1,554,709,36121
2024,8,1,553,705,36826
2024,8,1,552,776,37602
2024,8,1,551,730,38332
2024,8,1,550,772,39104
2024,8,1,549,746,39850
2024,8,1,548,731,40581
2024,8,1,547,784,41365
2024,8,1,546,777,42142
2024,8,1,545,776,42918
2024,8,1,544,765,43683
2024,8,1,543,736,44419
2024,8,1,542,797,45216
2024,8,1,541,862,46078
2024,8,1,540,797,46875
2024,8,1,539,855,47730
2024,8,1,538,873,48603
2024,8,1,537,842,49445
2024,8,1,536,845,50290
2024,8,1,535,913,51203
2024,8,1,534,860,52063
2024,8,1,533,932,52995
2024,8,1,532,944,53939
2024,8,1,531,940,54879
2024,8,1,530,929,55808
2024,8,1,529,895,56703
2024,8,1,528,958,57661
2024,8,1,527,905,58566
2024,8,1,526,973,59539
2024,8,1,525,1018,60557
2024,8,1,524,948,61505
2024,8,1,523,994,62499
2024,8,1,522,1033,63532
2024,8,1,521,1052,64584
2024,8,1,520,1011,65595
2024,8,1,519,1031,66626
2024,8,1,518,1038,67664
2024,8,1,517,1085,68749
2024,8,1,516,1027,69776
2024,8,1,515,1047,70823
2024,8,1,514,1050,71873
2024,8,1,513,1063,72936
2024,8,1,512,1068,74004
2024,8,1,511,1108,75112
2024,8,1,510,1089,76201
2024,8,1,509,1096,77297
2024,8,1,508,1112,78409
2024,8,1,507,1176,79585
2024,8,1,506,1161,80746
2024,8,1,505,1163,81909
2024,8,1,504,1158,83067
2024,8,1,503,1122,84189
2024,8,1,502,1139,85328
2024,8,1,501,1136,86464
2024,8,1,500,1194,87658
2024,8,1,499,1223,88881
2024,8,1,498,1193,90074
2024,8,1,497,1233,91307
2024,8,1,496,1243,92550
2024,8,1,495,1147,93697
2024,8,1,494,1216,94913
2024,8,1,493,1199,96112
2024,8,1,492,1202,97314
2024,8,1,491,1199,98513
2024,8,1,490,1218,99731
2024,8,1,489,1219,100950
2024,8,1,488,1223,102173
2024,8,1,487,1168,103341
2024,8,1,486,1258,104599
2024,8,1,485,1253,105852
2024,8,1,484,1223,107075
2024,8,1,483,1247,108322
2024,8,1,482,1163,109485
2024,8,1,481,1253,110738
2024,8,1,480,1203,111941
2024,8,1,479,1237,113178
2024,8,1,478,1315,114493
2024,8,1,477,1244,115737
2024,8,1,476,1289,117026
2024,8,1,475,1233,118259
2024,8,1,474,1269,119528
2024,8,1,473,1255,120783
2024,8,1,472,1243,122026
2024,8,1,471,1276,123302
2024,8,1,470,1258,124560
2024,8,1,469,1232,125792
2024,8,1,468,1235,127027
2024,8,1,467,1292,128319
2024,8,1,466,1204,129523
2024,8,1,465,1159,130682
2024,8,1,464,1173,131855
2024,8,1,463,1187,133042
2024,8,1,462,1216,134258
2024,8,1,461,1158,135416
2024,8,1,460,1150,136566
2024,8,1,459,1181,137747
2024,8,1,458,1151,138898
2024,8,1,457,1184,140082
2024,8,1,456,1145,141227
2024,8,1,455,1179,142406
2024,8,1,454,1122,143528
2024,8,1,453,1130,144658
2024,8,1,452,1230,145888
2024,8,1,451,1155,147043
2024,8,1,450,1103,148146
2024,8,1,449,1090,149236
2024,8,1,448,1143,150379
2024,8,1,447,1078,151457
2024,8,1,446,1095,152552
2024,8,1,445,1085,153637
2024,8,1,444,1087,154724
2024,8,1,443,1058,155782
2024,8,1,442,1081,156863
2024,8,1,441,1116,157979
2024,8,1,440,991,158970
2024,8,1,439,1053,160023
2024,8,1,438,1032,161055
2024,8,1,437,1017,162072
2024,8,1,436,964,163036
2024,8,1,435,965,164001
2024,8,1,434,992,164993
2024,8,1,433,925,165918
2024,8,1,432,993,166911
2024,8,1,431,947,167858
2024,8,1,430,961,168819
2024,8,1,429,916,169735
2024,8,1,428,946,170681
2024,8,1,427,1017,171698
2024,8,1,426,904,172602
2024,8,1,425,878,173480
2024,8,1,424,899,174379
