year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,13,2,673,32,32
2024,13,2,672,1,33
2024,13,2,671,0,33
2024,13,2,670,7,40
2024,13,2,669,3,43
2024,13,2,668,5,48
2024,13,2,667,6,54
2024,13,2,666,6,60
2024,13,2,665,6,66
2024,13,2,664,8,74
2024,13,2,663,7,81
2024,13,2,662,8,89
2024,13,2,661,4,93
2024,13,2,660,14,107
2024,13,2,659,5,112
2024,13,2,658,11,123
2024,13,2,657,13,136
2024,13,2,656,16,152
2024,13,2,655,15,167
2024,13,2,654,21,188
2024,13,2,653,20,208
2024,13,2,652,18,226
2024,13,2,651,22,248
2024,13,2,650,23,271
2024,13,2,649,26,297
2024,13,2,648,35,332
2024,13,2,647,37,369
2024,13,2,646,28,397
2024,13,2,645,23,420
2024,13,2,644,35,455
2024,13,2,643,41,496
2024,13,2,642,37,533
2024,13,2,641,31,564
2024,13,2,640,39,603
2024,13,2,639,46,649
2024,13,2,638,38,687
2024,13,2,637,36,723
2024,13,2,636,61,784
2024,13,2,635,48,832
2024,13,2,634,44,876
2024,13,2,633,55,931
2024,13,2,632,57,988
2024,13,2,631,59,1047
2024,13,2,630,66,1113
2024,13,2,629,79,1192
2024,13,2,628,65,1257
2024,13,2,627,65,1322
2024,13,2,626,78,1400
2024,13,2,625,74,1474
2024,13,2,624,69,1543
2024,13,2,623,98,1641
2024,13,2,622,73,1714
2024,13,2,621,100,1814
2024,13,2,620,105,1919
2024,13,2,619,80,1999
2024,13,2,618,97,2096
2024,13,2,617,93,2189
2024,13,2,616,122,2311
2024,13,2,615,114,2425
2024,13,2,614,106,2531
2024,13,2,613,120,2651
2024,13,2,612,113,2764
2024,13,2,611,118,2882
2024,13,2,610,116,2998
2024,13,2,609,126,3124
2024,13,2,608,121,3245
2024,13,2,607,123,3368
2024,13,2,606,115,3483
2024,13,2,605,136,3619
2024,13,2,604,122,3741
2024,13,2,603,141,3882
2024,13,2,602,139,4021
2024,13,2,601,154,4175
2024,13,2,600,125,4300
2024,13,2,599,151,4451
2024,13,2,598,150,4601
2024,13,2,597,169,4770
2024,13,2,596,163,4933
2024,13,2,595,181,5114
2024,13,2,594,155,5269
2024,13,2,593,160,5429
2024,13,2,592,176,5605
2024,13,2,591,198,5803
2024,13,2,590,170,5973
2024,13,2,589,194,6167
2024,13,2,588,189,6356
2024,13,2,587,204,6560
2024,13,2,586,178,6738
2024,13,2,585,208,6946
2024,13,2,584,192,7138
2024,13,2,583,198,7336
2024,13,2,582,182,7518
2024,13,2,581,190,7708
2024,13,2,580,232,7940
2024,13,2,579,204,8144
2024,13,2,578,236,8380
2024,13,2,577,215,8595
2024,13,2,576,256,8851
2024,13,2,575,215,9066
2024,13,2,574,243,9309
2024,13,2,573,240,9549
2024,13,2,572,237,9786
2024,13,2,571,235,10021
2024,13,2,570,250,10271
2024,13,2,569,259,10530
2024,13,2,568,284,10814
2024,13,2,567,263,11077
2024,13,2,566,247,11324
2024,13,2,565,312,11636
2024,13,2,564,311,11947
2024,13,2,563,276,12223
2024,13,2,562,262,12485
2024,13,2,561,278,12763
2024,13,2,560,289,13052
2024,13,2,559,283,13335
2024,13,2,558,306,13641
2024,13,2,557,292,13933
2024,13,2,556,288,14221
2024,13,2,555,322,14543
2024,13,2,554,279,14822
2024,13,2,553,322,15144
2024,13,2,552,288,15432
2024,13,2,551,368,15800
2024,13,2,550,318,16118
2024,13,2,549,331,16449
2024,13,2,548,327,16776
2024,13,2,547,330,17106
2024,13,2,546,328,17434
2024,13,2,545,366,17800
2024,13,2,544,319,18119
2024,13,2,543,339,18458
2024,13,2,542,336,18794
2024,13,2,541,347,19141
2024,13,2,540,395,19536
2024,13,2,539,390,19926
2024,13,2,538,339,20265
2024,13,2,537,397,20662
2024,13,2,536,371,21033
2024,13,2,535,408,21441
2024,13,2,534,413,21854
2024,13,2,533,397,22251
2024,13,2,532,399,22650
2024,13,2,531,426,23076
2024,13,2,530,359,23435
2024,13,2,529,440,23875
2024,13,2,528,372,24247
2024,13,2,527,429,24676
