year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,13,1,689,31 ,31 
2024,13,1,688 ,9 ,40 
2024,13,1,687 ,6 ,46 
2024,13,1,686 ,5 ,51 
2024,13,1,685 ,5 ,56 
2024,13,1,684 ,7 ,63 
2024,13,1,683 ,7 ,70 
2024,13,1,682 ,7 ,77 
2024,13,1,681 ,15 ,92 
2024,13,1,680 ,21 ,113 
2024,13,1,679 ,15 ,128 
2024,13,1,678 ,11 ,139 
2024,13,1,677 ,16 ,155 
2024,13,1,676 ,21 ,176 
2024,13,1,675 ,17 ,193 
2024,13,1,674 ,17 ,210 
2024,13,1,673,18 ,228 
2024,13,1,672 ,28 ,256 
2024,13,1,671 ,35 ,291 
2024,13,1,670 ,22 ,313 
2024,13,1,669 ,28 ,341 
2024,13,1,668 ,29 ,370 
2024,13,1,667 ,26 ,396 
2024,13,1,666 ,37 ,433 
2024,13,1,665 ,44 ,477 
2024,13,1,664 ,40 ,517 
2024,13,1,663 ,46 ,563 
2024,13,1,662 ,40 ,603 
2024,13,1,661 ,57 ,660 
2024,13,1,660 ,60 ,720 
2024,13,1,659 ,64 ,784 
2024,13,1,658 ,69 ,853 
2024,13,1,657 ,75 ,928 
2024,13,1,656 ,72 ,1000 
2024,13,1,655 ,63 ,1063 
2024,13,1,654 ,79 ,1142 
2024,13,1,653 ,81 ,1223 
2024,13,1,652 ,112 ,1335 
2024,13,1,651 ,87 ,1422 
2024,13,1,650 ,96 ,1518 
2024,13,1,649 ,88 ,1606 
2024,13,1,648 ,100 ,1706 
2024,13,1,647 ,111 ,1817 
2024,13,1,646 ,112 ,1929 
2024,13,1,645 ,130 ,2059 
2024,13,1,644 ,133 ,2192 
2024,13,1,643 ,142 ,2334 
2024,13,1,642 ,139 ,2473 
2024,13,1,641 ,149 ,2622 
2024,13,1,640 ,156 ,2778 
2024,13,1,639 ,174 ,2952 
2024,13,1,638 ,144 ,3096 
2024,13,1,637 ,167 ,3263 
2024,13,1,636 ,169 ,3432 
2024,13,1,635 ,196 ,3628 
2024,13,1,634 ,195 ,3823 
2024,13,1,633 ,194 ,4017 
2024,13,1,632 ,203 ,4220 
2024,13,1,631 ,231 ,4451 
2024,13,1,630 ,254 ,4705 
2024,13,1,629 ,191 ,4896 
2024,13,1,628 ,268 ,5164 
2024,13,1,627 ,245 ,5409 
2024,13,1,626 ,248 ,5657 
2024,13,1,625 ,254 ,5911 
2024,13,1,624 ,279 ,6190 
2024,13,1,623 ,287 ,6477 
2024,13,1,622 ,289 ,6766 
2024,13,1,621 ,302 ,7068 
2024,13,1,620 ,320 ,7388 
2024,13,1,619 ,325 ,7713 
2024,13,1,618 ,358 ,8071 
2024,13,1,617 ,338 ,8409 
2024,13,1,616 ,341 ,8750 
2024,13,1,615 ,396 ,9146 
2024,13,1,614 ,369 ,9515 
2024,13,1,613 ,393 ,9908 
2024,13,1,612 ,400 ,10308 
2024,13,1,611 ,407 ,10715 
2024,13,1,610 ,425 ,11140 
2024,13,1,609 ,425 ,11565 
2024,13,1,608 ,435 ,12000 
2024,13,1,607 ,449 ,12449 
2024,13,1,606 ,449 ,12898 
2024,13,1,605 ,487 ,13385 
2024,13,1,604 ,451 ,13836 
2024,13,1,603 ,498 ,14334 
2024,13,1,602 ,532 ,14866 
2024,13,1,601 ,521 ,15387 
2024,13,1,600 ,563 ,15950 
2024,13,1,599 ,503 ,16453 
2024,13,1,598 ,519 ,16972 
2024,13,1,597 ,589 ,17561 
2024,13,1,596 ,550 ,18111 
2024,13,1,595 ,552 ,18663 
2024,13,1,594 ,615 ,19278 
2024,13,1,593 ,615 ,19893 
2024,13,1,592 ,618 ,20511 
2024,13,1,591 ,636 ,21147 
2024,13,1,590 ,625 ,21772 
2024,13,1,589 ,661 ,22433 
2024,13,1,588 ,622 ,23055 
2024,13,1,587 ,652 ,23707 
2024,13,1,586 ,653 ,24360 
2024,13,1,585 ,681 ,25041 
2024,13,1,584 ,680 ,25721 
2024,13,1,583 ,719 ,26440 
2024,13,1,582 ,743 ,27183 
2024,13,1,581 ,718 ,27901 
2024,13,1,580 ,794 ,28695 
2024,13,1,579 ,761 ,29456 
2024,13,1,578 ,801 ,30257 
2024,13,1,577 ,823 ,31080 
2024,13,1,576 ,770 ,31850 
2024,13,1,575 ,823 ,32673 
2024,13,1,574 ,803 ,33476 
2024,13,1,573 ,776 ,34252 
2024,13,1,572 ,857 ,35109 
2024,13,1,571 ,815 ,35924 
2024,13,1,570 ,824 ,36748 
2024,13,1,569 ,869 ,37617 
2024,13,1,568 ,873 ,38490 
2024,13,1,567 ,942 ,39432 
2024,13,1,566 ,938 ,40370 
2024,13,1,565 ,921 ,41291 
2024,13,1,564 ,920 ,42211 
2024,13,1,563 ,918 ,43129 
2024,13,1,562 ,878 ,44007 
2024,13,1,561 ,962 ,44969 
2024,13,1,560 ,926 ,45895 
2024,13,1,559 ,916 ,46811 
2024,13,1,558 ,972 ,47783 
2024,13,1,557 ,1007 ,48790 
2024,13,1,556 ,1001 ,49791 
2024,13,1,555 ,1017 ,50808 
2024,13,1,554 ,1068 ,51876 
2024,13,1,553 ,1077 ,52953 
2024,13,1,552 ,1036 ,53989 
2024,13,1,551 ,1056 ,55045 
2024,13,1,550 ,1035 ,56080 
2024,13,1,549 ,1070 ,57150 
2024,13,1,548 ,1086 ,58236 
2024,13,1,547 ,1152 ,59388 
2024,13,1,546 ,1061 ,60449 
2024,13,1,545 ,1118 ,61567 
2024,13,1,544 ,1183 ,62750 
2024,13,1,543 ,1159 ,63909 
2024,13,1,542 ,1165 ,65074 
2024,13,1,541 ,1100 ,66174 
2024,13,1,540 ,1203 ,67377 
2024,13,1,539 ,1196 ,68573 
2024,13,1,538 ,1188 ,69761 
2024,13,1,537 ,1225 ,70986 
2024,13,1,536 ,1218 ,72204 
2024,13,1,535 ,1230 ,73434 
2024,13,1,534 ,1193 ,74627 
2024,13,1,533 ,1240 ,75867 
