year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,1,1,709,10,10
2024,1,1,708,3,13
2024,1,1,707,4,17
2024,1,1,706,4,21
2024,1,1,705,2,23
2024,1,1,704,5,28
2024,1,1,703,5,33
2024,1,1,702,5,38
2024,1,1,701,5,43
2024,1,1,700,9,52
2024,1,1,699,12,64
2024,1,1,698,11,75
2024,1,1,697,6,81
2024,1,1,696,13,94
2024,1,1,695,17,111
2024,1,1,694,17,128
2024,1,1,693,22,150
2024,1,1,692,24,174
2024,1,1,691,19,193
2024,1,1,690,22,215
2024,1,1,689,24,239
2024,1,1,688,35,274
2024,1,1,687,30,304
2024,1,1,686,37,341
2024,1,1,685,28,369
2024,1,1,684,39,408
2024,1,1,683,36,444
2024,1,1,682,47,491
2024,1,1,681,30,521
2024,1,1,680,52,573
2024,1,1,679,35,608
2024,1,1,678,76,684
2024,1,1,677,62,746
2024,1,1,676,66,812
2024,1,1,675,69,881
2024,1,1,674,77,958
2024,1,1,673,66,1024
2024,1,1,672,71,1095
2024,1,1,671,85,1180
2024,1,1,670,66,1246
2024,1,1,669,72,1318
2024,1,1,668,92,1410
2024,1,1,667,99,1509
2024,1,1,666,95,1604
2024,1,1,665,110,1714
2024,1,1,664,109,1823
2024,1,1,663,119,1942
2024,1,1,662,109,2051
2024,1,1,661,106,2157
2024,1,1,660,115,2272
2024,1,1,659,133,2405
2024,1,1,658,141,2546
2024,1,1,657,116,2662
2024,1,1,656,147,2809
2024,1,1,655,146,2955
2024,1,1,654,165,3120
2024,1,1,653,167,3287
2024,1,1,652,154,3441
2024,1,1,651,167,3608
2024,1,1,650,176,3784
2024,1,1,649,171,3955
2024,1,1,648,198,4153
2024,1,1,647,179,4332
2024,1,1,646,219,4551
2024,1,1,645,193,4744
2024,1,1,644,222,4966
2024,1,1,643,211,5177
2024,1,1,642,208,5385
2024,1,1,641,250,5635
2024,1,1,640,220,5855
2024,1,1,639,265,6120
2024,1,1,638,293,6413
2024,1,1,637,256,6669
2024,1,1,636,296,6965
2024,1,1,635,284,7249
2024,1,1,634,299,7548
2024,1,1,633,283,7831
2024,1,1,632,308,8139
2024,1,1,631,305,8444
2024,1,1,630,366,8810
2024,1,1,629,323,9133
2024,1,1,628,365,9498
2024,1,1,627,341,9839
2024,1,1,626,349,10188
2024,1,1,625,404,10592
2024,1,1,624,370,10962
2024,1,1,623,401,11363
2024,1,1,622,404,11767
2024,1,1,621,437,12204
2024,1,1,620,403,12607
2024,1,1,619,421,13028
2024,1,1,618,447,13475
2024,1,1,617,466,13941
2024,1,1,616,455,14396
2024,1,1,615,495,14891
2024,1,1,614,511,15402
2024,1,1,613,511,15913
2024,1,1,612,575,16488
2024,1,1,611,494,16982
2024,1,1,610,537,17519
2024,1,1,609,540,18059
2024,1,1,608,583,18642
2024,1,1,607,614,19256
2024,1,1,606,613,19869
2024,1,1,605,587,20456
2024,1,1,604,583,21039
2024,1,1,603,617,21656
2024,1,1,602,680,22336
2024,1,1,601,627,22963
2024,1,1,600,675,23638
2024,1,1,599,671,24309
2024,1,1,598,740,25049
2024,1,1,597,713,25762
2024,1,1,596,703,26465
2024,1,1,595,749,27214
2024,1,1,594,705,27919
2024,1,1,593,718,28637
2024,1,1,592,732,29369
2024,1,1,591,754,30123
2024,1,1,590,764,30887
2024,1,1,589,793,31680
2024,1,1,588,848,32528
2024,1,1,587,855,33383
2024,1,1,586,847,34230
2024,1,1,585,836,35066
2024,1,1,584,882,35948
2024,1,1,583,893,36841
2024,1,1,582,903,37744
2024,1,1,581,938,38682
2024,1,1,580,923,39605
2024,1,1,579,936,40541
2024,1,1,578,968,41509
2024,1,1,577,936,42445
2024,1,1,576,1014,43459
2024,1,1,575,1004,44463
2024,1,1,574,993,45456
2024,1,1,573,1057,46513
2024,1,1,572,1035,47548
2024,1,1,571,1046,48594
2024,1,1,570,972,49566
2024,1,1,569,1076,50642
2024,1,1,568,1044,51686
2024,1,1,567,1035,52721
2024,1,1,566,1188,53909
2024,1,1,565,1126,55035
2024,1,1,564,1154,56189
2024,1,1,563,1092,57281
2024,1,1,562,1119,58400
2024,1,1,561,1179,59579
2024,1,1,560,1166,60745
2024,1,1,559,1194,61939
2024,1,1,558,1193,63132
2024,1,1,557,1181,64313
2024,1,1,556,1245,65558
2024,1,1,555,1252,66810
2024,1,1,554,1240,68050
2024,1,1,553,1292,69342
2024,1,1,552,1260,70602
2024,1,1,551,1249,71851
2024,1,1,550,1257,73108
2024,1,1,549,1301,74409
2024,1,1,548,1277,75686
2024,1,1,547,1316,77002
2024,1,1,546,1337,78339
2024,1,1,545,1316,79655
2024,1,1,544,1297,80952
2024,1,1,543,1388,82340
2024,1,1,542,1332,83672
2024,1,1,541,1319,84991
2024,1,1,540,1333,86324
2024,1,1,539,1434,87758
2024,1,1,538,1436,89194
2024,1,1,537,1434,90628
2024,1,1,536,1402,92030
2024,1,1,535,1421,93451
2024,1,1,534,1443,94894
2024,1,1,533,1485,96379
2024,1,1,532,1458,97837
2024,1,1,531,1462,99299
2024,1,1,530,1438,100737
2024,1,1,529,1474,102211
2024,1,1,528,1463,103674
2024,1,1,527,1486,105160
2024,1,1,526,1450,106610
2024,1,1,525,1587,108197
2024,1,1,524,1457,109654
2024,1,1,523,1512,111166
2024,1,1,522,1572,112738
2024,1,1,521,1533,114271
2024,1,1,520,1559,115830
2024,1,1,519,1551,117381
2024,1,1,518,1616,118997
2024,1,1,517,1586,120583
2024,1,1,516,1575,122158
2024,1,1,515,1543,123701
2024,1,1,514,1578,125279
2024,1,1,513,1706,126985
2024,1,1,512,1597,128582
2024,1,1,511,1613,130195
2024,1,1,510,1525,131720
2024,1,1,509,1539,133259
2024,1,1,508,1644,134903
2024,1,1,507,1580,136483
2024,1,1,506,1636,138119
2024,1,1,505,1589,139708
2024,1,1,504,1584,141292
2024,1,1,503,1643,142935
2024,1,1,502,1646,144581
2024,1,1,501,1586,146167
2024,1,1,500,1671,147838
2024,1,1,499,1655,149493
2024,1,1,498,1591,151084
2024,1,1,497,1644,152728
2024,1,1,496,1607,154335
2024,1,1,495,1671,156006
2024,1,1,494,1646,157652
2024,1,1,493,1691,159343
2024,1,1,492,1672,161015
2024,1,1,491,1603,162618
2024,1,1,490,1668,164286
2024,1,1,489,1672,165958
2024,1,1,488,1650,167608
2024,1,1,487,1763,169371
2024,1,1,486,1632,171003
2024,1,1,485,1728,172731
2024,1,1,484,1752,174483
2024,1,1,483,1687,176170
2024,1,1,482,1760,177930
2024,1,1,481,1697,179627
2024,1,1,480,1741,181368
2024,1,1,479,1689,183057
2024,1,1,478,1756,184813
2024,1,1,477,1749,186562
2024,1,1,476,1689,188251
2024,1,1,475,1768,190019
2024,1,1,474,1750,191769
2024,1,1,473,1690,193459
2024,1,1,472,1719,195178
2024,1,1,471,1722,196900
2024,1,1,470,1802,198702
2024,1,1,469,1811,200513
2024,1,1,468,1751,202264
2024,1,1,467,1730,203994
2024,1,1,466,1775,205769
2024,1,1,465,1689,207458
2024,1,1,464,1791,209249
2024,1,1,463,1759,211008
2024,1,1,462,1750,212758
2024,1,1,461,1639,214397
2024,1,1,460,1812,216209
2024,1,1,459,1755,217964
2024,1,1,458,1719,219683
2024,1,1,457,1758,221441
2024,1,1,456,1838,223279
2024,1,1,455,1808,225087
2024,1,1,454,1810,226897
2024,1,1,453,1778,228675
2024,1,1,452,1762,230437
2024,1,1,451,1805,232242
2024,1,1,450,1769,234011
2024,1,1,449,1768,235779
2024,1,1,448,1804,237583
2024,1,1,447,1750,239333
2024,1,1,446,1846,241179
2024,1,1,445,1761,242940
2024,1,1,444,1754,244694
2024,1,1,443,1736,246430
2024,1,1,442,1840,248270
2024,1,1,441,1759,250029
2024,1,1,440,1844,251873
2024,1,1,439,1827,253700
2024,1,1,438,1755,255455
2024,1,1,437,1817,257272
2024,1,1,436,1864,259136
2024,1,1,435,1850,260986
2024,1,1,434,1839,262825
2024,1,1,433,1805,264630
2024,1,1,432,1764,266394
2024,1,1,431,1792,268186
2024,1,1,430,1727,269913
2024,1,1,429,1803,271716
2024,1,1,428,1760,273476
2024,1,1,427,1790,275266
2024,1,1,426,1782,277048
2024,1,1,425,1807,278855
2024,1,1,424,1757,280612
2024,1,1,423,1825,282437
2024,1,1,422,1798,284235
2024,1,1,421,1764,285999
2024,1,1,420,1724,287723
2024,1,1,419,1773,289496
2024,1,1,418,1792,291288
2024,1,1,417,1760,293048
2024,1,1,416,1774,294822
2024,1,1,415,1712,296534
2024,1,1,414,1743,298277
2024,1,1,413,1757,300034
2024,1,1,412,1765,301799
2024,1,1,411,1769,303568
2024,1,1,410,1757,305325
2024,1,1,409,1735,307060
2024,1,1,408,1732,308792
2024,1,1,407,1779,310571
2024,1,1,406,1743,312314
2024,1,1,405,1766,314080
2024,1,1,404,1732,315812
2024,1,1,403,1788,317600
2024,1,1,402,1691,319291
2024,1,1,401,1689,320980
2024,1,1,400,1670,322650
2024,1,1,399,1750,324400
2024,1,1,398,1747,326147
2024,1,1,397,1701,327848
2024,1,1,396,1725,329573
2024,1,1,395,1752,331325
2024,1,1,394,1705,333030
2024,1,1,393,1656,334686
2024,1,1,392,1757,336443
2024,1,1,391,1695,338138
2024,1,1,390,1670,339808
2024,1,1,389,1604,341412
2024,1,1,388,1685,343097
2024,1,1,387,1716,344813
2024,1,1,386,1672,346485
2024,1,1,385,1697,348182
2024,1,1,384,1664,349846
2024,1,1,383,1680,351526
2024,1,1,382,1662,353188
2024,1,1,381,1598,354786
2024,1,1,380,1626,356412
2024,1,1,379,1592,358004
2024,1,1,378,1543,359547
2024,1,1,377,1588,361135
2024,1,1,376,1561,362696
2024,1,1,375,1584,364280
2024,1,1,374,1625,365905
2024,1,1,373,1680,367585
2024,1,1,372,1574,369159
2024,1,1,371,1584,370743
2024,1,1,370,1607,372350
2024,1,1,369,1542,373892
2024,1,1,368,1617,375509
2024,1,1,367,1556,377065
2024,1,1,366,1576,378641
2024,1,1,365,1548,380189
2024,1,1,364,1566,381755
2024,1,1,363,1643,383398
2024,1,1,362,1521,384919
2024,1,1,361,1471,386390
2024,1,1,360,1548,387938
2024,1,1,359,1634,389572
2024,1,1,358,1470,391042
2024,1,1,357,1526,392568
2024,1,1,356,1484,394052
2024,1,1,355,1488,395540
2024,1,1,354,1503,397043
2024,1,1,353,1523,398566
2024,1,1,352,1486,400052
2024,1,1,351,1503,401555
2024,1,1,350,1442,402997
2024,1,1,349,1494,404491
2024,1,1,348,1441,405932
2024,1,1,347,1462,407394
2024,1,1,346,1475,408869
2024,1,1,345,1459,410328
2024,1,1,344,1527,411855
2024,1,1,343,1455,413310
2024,1,1,342,1419,414729
2024,1,1,341,1393,416122
2024,1,1,340,1455,417577
2024,1,1,339,1410,418987
2024,1,1,338,1455,420442
2024,1,1,337,1395,421837
2024,1,1,336,1381,423218
2024,1,1,335,1469,424687
2024,1,1,334,1428,426115
2024,1,1,333,1391,427506
2024,1,1,332,1370,428876
2024,1,1,331,1467,430343
2024,1,1,330,1326,431669
2024,1,1,329,1313,432982
2024,1,1,328,1397,434379
2024,1,1,327,1267,435646
2024,1,1,326,1357,437003
2024,1,1,325,1279,438282
2024,1,1,324,1358,439640
2024,1,1,323,1280,440920
2024,1,1,322,1350,442270
2024,1,1,321,1249,443519
2024,1,1,320,1282,444801
2024,1,1,319,1275,446076
2024,1,1,318,1331,447407
2024,1,1,317,1208,448615
2024,1,1,316,1281,449896
2024,1,1,315,1191,451087
2024,1,1,314,1251,452338
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
