year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,16,1,695,44,44
2024,16,1,694,6,50
2024,16,1,693,10,60
2024,16,1,692,11,71
2024,16,1,691,12,83
2024,16,1,690,15,98
2024,16,1,689,17,115
2024,16,1,688,13,128
2024,16,1,687,9,137
2024,16,1,686,22,159
2024,16,1,685,14,173
2024,16,1,684,14,187
2024,16,1,683,21,208
2024,16,1,682,31,239
2024,16,1,681,32,271
2024,16,1,680,29,300
2024,16,1,679,32,332
2024,16,1,678,40,372
2024,16,1,677,40,412
2024,16,1,676,34,446
2024,16,1,675,42,488
2024,16,1,674,38,526
2024,16,1,673,55,581
2024,16,1,672,37,618
2024,16,1,671,53,671
2024,16,1,670,55,726
2024,16,1,669,62,788
2024,16,1,668,54,842
2024,16,1,667,56,898
2024,16,1,666,65,963
2024,16,1,665,83,1046
2024,16,1,664,90,1136
2024,16,1,663,105,1241
2024,16,1,662,73,1314
2024,16,1,661,102,1416
2024,16,1,660,91,1507
2024,16,1,659,96,1603
2024,16,1,658,116,1719
2024,16,1,657,128,1847
2024,16,1,656,124,1971
2024,16,1,655,109,2080
2024,16,1,654,113,2193
2024,16,1,653,122,2315
2024,16,1,652,138,2453
2024,16,1,651,143,2596
2024,16,1,650,131,2727
2024,16,1,649,152,2879
2024,16,1,648,154,3033
2024,16,1,647,185,3218
2024,16,1,646,144,3362
2024,16,1,645,170,3532
2024,16,1,644,180,3712
2024,16,1,643,189,3901
2024,16,1,642,184,4085
2024,16,1,641,202,4287
2024,16,1,640,208,4495
2024,16,1,639,215,4710
2024,16,1,638,180,4890
2024,16,1,637,209,5099
2024,16,1,636,227,5326
2024,16,1,635,217,5543
2024,16,1,634,213,5756
2024,16,1,633,226,5982
2024,16,1,632,261,6243
2024,16,1,631,266,6509
2024,16,1,630,268,6777
2024,16,1,629,279,7056
2024,16,1,628,300,7356
2024,16,1,627,303,7659
2024,16,1,626,251,7910
2024,16,1,625,305,8215
2024,16,1,624,271,8486
2024,16,1,623,274,8760
2024,16,1,622,307,9067
2024,16,1,621,290,9357
2024,16,1,620,344,9701
2024,16,1,619,334,10035
2024,16,1,618,337,10372
2024,16,1,617,308,10680
2024,16,1,616,378,11058
2024,16,1,615,337,11395
2024,16,1,614,361,11756
2024,16,1,613,402,12158
2024,16,1,612,378,12536
2024,16,1,611,396,12932
2024,16,1,610,383,13315
2024,16,1,609,413,13728
2024,16,1,608,388,14116
