year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,24,2,652,35,35
2024,24,2,651,2,37
2024,24,2,650,5,42
2024,24,2,649,1,43
2024,24,2,648,4,47
2024,24,2,647,7,54
2024,24,2,646,10,64
2024,24,2,645,6,70
2024,24,2,644,3,73
2024,24,2,643,11,84
2024,24,2,642,3,87
2024,24,2,641,6,93
2024,24,2,640,6,99
2024,24,2,639,6,105
2024,24,2,638,7,112
2024,24,2,637,10,122
2024,24,2,636,16,138
2024,24,2,635,9,147
2024,24,2,634,7,154
2024,24,2,633,7,161
2024,24,2,632,12,173
2024,24,2,631,7,180
2024,24,2,630,5,185
2024,24,2,629,8,193
2024,24,2,628,19,212
2024,24,2,627,19,231
2024,24,2,626,12,243
2024,24,2,625,10,253
2024,24,2,624,15,268
2024,24,2,623,17,285
2024,24,2,622,16,301
2024,24,2,621,15,316
2024,24,2,620,16,332
2024,24,2,619,20,352
2024,24,2,618,15,367
2024,24,2,617,20,387
2024,24,2,616,18,405
2024,24,2,615,27,432
2024,24,2,614,14,446
2024,24,2,613,19,465
2024,24,2,612,23,488
2024,24,2,611,20,508
2024,24,2,610,22,530
2024,24,2,609,21,551
2024,24,2,608,22,573
2024,24,2,607,18,591
2024,24,2,606,26,617
2024,24,2,605,26,643
2024,24,2,604,21,664
2024,24,2,603,33,697
2024,24,2,602,21,718
2024,24,2,601,22,740
2024,24,2,600,26,766
2024,24,2,599,26,792
2024,24,2,598,29,821
2024,24,2,597,31,852
2024,24,2,596,26,878
2024,24,2,595,21,899
2024,24,2,594,32,931
2024,24,2,593,26,957
2024,24,2,592,30,987
2024,24,2,591,37,1024
2024,24,2,590,31,1055
2024,24,2,589,44,1099
2024,24,2,588,32,1131
2024,24,2,587,42,1173
2024,24,2,586,46,1219
2024,24,2,585,35,1254
2024,24,2,584,55,1309
2024,24,2,583,46,1355
2024,24,2,582,36,1391
2024,24,2,581,50,1441
2024,24,2,580,44,1485
2024,24,2,579,34,1519
2024,24,2,578,42,1561
2024,24,2,577,42,1603
2024,24,2,576,52,1655
2024,24,2,575,45,1700
2024,24,2,574,53,1753
2024,24,2,573,45,1798
2024,24,2,572,41,1839
2024,24,2,571,65,1904
2024,24,2,570,55,1959
2024,24,2,569,51,2010
2024,24,2,568,68,2078
