year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,15,1,696 ,6 ,51 
2024,15,1,695 ,2 ,53 
2024,15,1,694 ,7 ,60 
2024,15,1,693 ,9 ,69 
2024,15,1,692 ,11 ,80 
2024,15,1,691 ,11 ,91 
2024,15,1,690 ,20 ,111 
2024,15,1,689 ,17 ,128 
2024,15,1,688 ,13 ,141 
2024,15,1,687 ,9 ,150 
2024,15,1,686 ,19 ,169 
2024,15,1,685 ,23 ,192 
2024,15,1,684 ,22 ,214 
2024,15,1,683 ,25 ,239 
2024,15,1,682 ,28 ,267 
2024,15,1,681 ,38 ,305 
2024,15,1,680 ,22 ,327 
2024,15,1,679 ,32 ,359 
2024,15,1,678 ,42 ,401 
2024,15,1,677 ,31 ,432 
2024,15,1,676 ,43 ,475 
2024,15,1,675 ,42 ,517 
2024,15,1,674 ,48 ,565 
2024,15,1,673 ,38 ,603 
2024,15,1,672 ,69 ,672 
2024,15,1,671 ,54 ,726 
2024,15,1,670 ,41 ,767 
2024,15,1,669 ,65 ,832 
2024,15,1,668 ,69 ,901 
2024,15,1,667 ,89 ,990 
2024,15,1,666 ,85 ,1075 
2024,15,1,665 ,75 ,1150 
2024,15,1,664 ,82 ,1232 
2024,15,1,663 ,91 ,1323 
2024,15,1,662 ,91 ,1414 
2024,15,1,661 ,92 ,1506 
2024,15,1,660 ,100 ,1606 
2024,15,1,659 ,104 ,1710 
2024,15,1,658 ,105 ,1815 
2024,15,1,657 ,108 ,1923 
2024,15,1,656 ,101 ,2024 
2024,15,1,655 ,115 ,2139 
2024,15,1,654 ,122 ,2261 
2024,15,1,653 ,112 ,2373 
2024,15,1,652 ,131 ,2504 
2024,15,1,651 ,140 ,2644 
2024,15,1,650 ,135 ,2779 
2024,15,1,649 ,139 ,2918 
2024,15,1,648 ,164 ,3082 
2024,15,1,647 ,145 ,3227 
2024,15,1,646 ,145 ,3372 
2024,15,1,645 ,174 ,3546 
2024,15,1,644 ,165 ,3711 
2024,15,1,643 ,172 ,3883 
2024,15,1,642 ,172 ,4055 
2024,15,1,641 ,171 ,4226 
2024,15,1,640 ,175 ,4401 
2024,15,1,639 ,201 ,4602 
2024,15,1,638 ,178 ,4780 
2024,15,1,637 ,196 ,4976 
2024,15,1,636 ,202 ,5178 
2024,15,1,635 ,204 ,5382 
2024,15,1,634 ,197 ,5579 
2024,15,1,633 ,215 ,5794 
2024,15,1,632 ,230 ,6024 
2024,15,1,631 ,239 ,6263 
2024,15,1,630 ,221 ,6484 
2024,15,1,629 ,236 ,6720 
2024,15,1,628 ,257 ,6977 
2024,15,1,627 ,261 ,7238 
2024,15,1,626 ,289 ,7527 
2024,15,1,625 ,248 ,7775 
2024,15,1,624 ,244 ,8019 
2024,15,1,623 ,236 ,8255 
2024,15,1,622 ,284 ,8539 
2024,15,1,621 ,310 ,8849 
2024,15,1,620 ,280 ,9129 
2024,15,1,619 ,344 ,9473 
2024,15,1,618 ,321 ,9794 
2024,15,1,617 ,273 ,10067 
2024,15,1,616 ,303 ,10370 
2024,15,1,615 ,322 ,10692 
2024,15,1,614 ,280 ,10972 
2024,15,1,613 ,300 ,11272 
2024,15,1,612 ,320 ,11592 
2024,15,1,611 ,348 ,11940 
2024,15,1,610 ,332 ,12272 
2024,15,1,609 ,357 ,12629 
2024,15,1,608 ,359 ,12988 
2024,15,1,607 ,349 ,13337 
2024,15,1,606 ,366 ,13703 
2024,15,1,605 ,385 ,14088 
2024,15,1,604 ,347 ,14435 
2024,15,1,603 ,367 ,14802 
2024,15,1,602 ,412 ,15214 
2024,15,1,601 ,377 ,15591 
2024,15,1,600 ,376 ,15967 
2024,15,1,599 ,362 ,16329 
2024,15,1,598 ,438 ,16767 
2024,15,1,597 ,384 ,17151 
2024,15,1,596 ,416 ,17567 
2024,15,1,595 ,378 ,17945 
2024,15,1,594 ,389 ,18334 
2024,15,1,593 ,397 ,18731 
2024,15,1,592 ,401 ,19132 
2024,15,1,591 ,429 ,19561 
2024,15,1,590 ,437 ,19998 
2024,15,1,589 ,470 ,20468 
2024,15,1,588 ,432 ,20900 
2024,15,1,587 ,445 ,21345 
2024,15,1,586 ,469 ,21814 
2024,15,1,585 ,469 ,22283 
2024,15,1,584 ,450 ,22733 
2024,15,1,583 ,472 ,23205 
2024,15,1,582 ,467 ,23672 
2024,15,1,581 ,497 ,24169 
2024,15,1,580 ,456 ,24625 
2024,15,1,579 ,535 ,25160 
2024,15,1,578 ,455 ,25615 
2024,15,1,577 ,453 ,26068 
2024,15,1,576 ,535 ,26603 
2024,15,1,575 ,471 ,27074 
2024,15,1,574 ,489 ,27563 
2024,15,1,573 ,488 ,28051 
2024,15,1,572 ,532 ,28583 
2024,15,1,571 ,537 ,29120 
2024,15,1,570 ,462 ,29582 
2024,15,1,569 ,525 ,30107 
2024,15,1,568 ,508 ,30615 
2024,15,1,567 ,549 ,31164 
2024,15,1,566 ,577 ,31741 
2024,15,1,565 ,502 ,32243 
2024,15,1,564 ,501 ,32744 
2024,15,1,563 ,556 ,33300 
2024,15,1,562 ,550 ,33850 
2024,15,1,561 ,564 ,34414 
2024,15,1,560 ,556 ,34970 
2024,15,1,559 ,561 ,35531 
2024,15,1,558 ,579 ,36110 
2024,15,1,557 ,628 ,36738 
2024,15,1,556 ,605 ,37343 
2024,15,1,555 ,553 ,37896 
2024,15,1,554 ,592 ,38488 
2024,15,1,553 ,588 ,39076 
2024,15,1,552 ,560 ,39636 
2024,15,1,551 ,624 ,40260 
2024,15,1,550 ,608 ,40868 
2024,15,1,549 ,590 ,41458 
2024,15,1,548 ,605 ,42063 
2024,15,1,547 ,630 ,42693 
2024,15,1,546 ,614 ,43307 
2024,15,1,545 ,596 ,43903 
2024,15,1,544 ,602 ,44505 
2024,15,1,543 ,630 ,45135 
2024,15,1,542 ,656 ,45791 
2024,15,1,541 ,647 ,46438 
2024,15,1,540 ,667 ,47105 
2024,15,1,539 ,653 ,47758 
2024,15,1,538 ,661 ,48419 
2024,15,1,537 ,615 ,49034 
2024,15,1,536 ,682 ,49716 
2024,15,1,535 ,632 ,50348 
2024,15,1,534 ,661 ,51009 
2024,15,1,533 ,650 ,51659 
2024,15,1,532 ,650 ,52309 
2024,15,1,531 ,696 ,53005 
2024,15,1,530 ,638 ,53643 
2024,15,1,529 ,674 ,54317 
2024,15,1,528 ,700 ,55017 
2024,15,1,527 ,673 ,55690 
2024,15,1,526 ,681 ,56371 
2024,15,1,525 ,660 ,57031 
2024,15,1,524 ,695 ,57726 
2024,15,1,523 ,695 ,58421 
2024,15,1,522 ,650 ,59071 
2024,15,1,521 ,709 ,59780 
2024,15,1,520 ,634 ,60414 
2024,15,1,519 ,658 ,61072 
2024,15,1,518 ,737 ,61809 
2024,15,1,517 ,704 ,62513 
2024,15,1,516 ,696 ,63209 
2024,15,1,515 ,708 ,63917 
2024,15,1,514 ,695 ,64612 
2024,15,1,513 ,746 ,65358 
2024,15,1,512 ,698 ,66056 
2024,15,1,511 ,667 ,66723 
2024,15,1,510 ,673 ,67396 
2024,15,1,509 ,729 ,68125 
2024,15,1,508 ,714 ,68839 
2024,15,1,507 ,714 ,69553 
2024,15,1,506 ,694 ,70247 
2024,15,1,505 ,694 ,70941 
2024,15,1,504 ,702 ,71643 
2024,15,1,503 ,660 ,72303 
2024,15,1,502 ,747 ,73050 
2024,15,1,501 ,722 ,73772 
2024,15,1,500 ,691 ,74463 
2024,15,1,499 ,709 ,75172 
2024,15,1,498 ,735 ,75907 
2024,15,1,497 ,781 ,76688 
2024,15,1,496 ,682 ,77370 
2024,15,1,495 ,721 ,78091 
2024,15,1,494 ,690 ,78781 
2024,15,1,493 ,723 ,79504 
2024,15,1,492 ,685 ,80189 
2024,15,1,491 ,716 ,80905 
2024,15,1,490 ,722 ,81627 
2024,15,1,489 ,690 ,82317 
2024,15,1,488 ,733 ,83050 
2024,15,1,487 ,755 ,83805 
2024,15,1,486 ,770 ,84575 
2024,15,1,485 ,707 ,85282 
2024,15,1,484 ,749 ,86031 
2024,15,1,483 ,760 ,86791 
2024,15,1,482 ,736 ,87527 
2024,15,1,481 ,780 ,88307 
2024,15,1,480 ,745 ,89052 
2024,15,1,479 ,727 ,89779 
2024,15,1,478 ,743 ,90522 
2024,15,1,477 ,741 ,91263 
2024,15,1,476 ,730 ,91993 
2024,15,1,475 ,760 ,92753 
2024,15,1,474 ,727 ,93480 
2024,15,1,473 ,693 ,94173 
2024,15,1,472 ,784 ,94957 
2024,15,1,471 ,695 ,95652 
2024,15,1,470 ,736 ,96388 
2024,15,1,469 ,787 ,97175 
2024,15,1,468 ,687 ,97862 
2024,15,1,467 ,729 ,98591 
2024,15,1,466 ,740 ,99331 
2024,15,1,465 ,724 ,100055 
2024,15,1,464 ,709 ,100764 
2024,15,1,463 ,744 ,101508 
2024,15,1,462 ,735 ,102243 
2024,15,1,461 ,748 ,102991 
2024,15,1,460 ,701 ,103692 
2024,15,1,459 ,760 ,104452 
2024,15,1,458 ,665 ,105117 
2024,15,1,457 ,679 ,105796 
2024,15,1,456 ,677 ,106473 
2024,15,1,455 ,742 ,107215 
2024,15,1,454 ,749 ,107964 
2024,15,1,453 ,722 ,108686 
2024,15,1,452 ,702 ,109388 
2024,15,1,451 ,754 ,110142 
2024,15,1,450 ,699 ,110841 
2024,15,1,449 ,732 ,111573 
