year,province_id,subject_category_id,score,count_at_score,cumulative_count
2024,5,1,712,12,12
2024,5,1,711,2,14
2024,5,1,709,3,17
2024,5,1,708,4,21
2024,5,1,707,1,22
2024,5,1,706,5,27
2024,5,1,705,4,31
2024,5,1,704,2,33
2024,5,1,703,4,37
2024,5,1,702,6,43
2024,5,1,701,6,49
2024,5,1,700,9,58
2024,5,1,699,11,69
2024,5,1,698,9,78
2024,5,1,697,16,94
2024,5,1,696,9,103
2024,5,1,695,11,114
2024,5,1,694,10,124
2024,5,1,693,9,133
2024,5,1,692,5,138
2024,5,1,691,10,148
2024,5,1,690,11,159
2024,5,1,689,14,173
2024,5,1,688,22,195
2024,5,1,687,14,209
2024,5,1,686,20,229
2024,5,1,685,23,252
2024,5,1,684,18,270
2024,5,1,683,24,294
2024,5,1,682,19,313
2024,5,1,681,23,336
2024,5,1,680,28,364
2024,5,1,679,34,398
2024,5,1,678,28,426
2024,5,1,677,41,467
2024,5,1,676,32,499
2024,5,1,675,37,536
2024,5,1,674,56,592
2024,5,1,673,36,628
2024,5,1,672,37,665
2024,5,1,671,35,700
2024,5,1,670,43,743
2024,5,1,669,55,798
2024,5,1,668,54,852
2024,5,1,667,53,905
2024,5,1,666,52,957
2024,5,1,665,45,1002
2024,5,1,664,60,1062
2024,5,1,663,49,1111
2024,5,1,662,70,1181
2024,5,1,661,58,1239
2024,5,1,660,59,1298
2024,5,1,659,67,1365
2024,5,1,658,57,1422
2024,5,1,657,54,1476
2024,5,1,656,57,1533
2024,5,1,655,70,1603
2024,5,1,654,71,1674
2024,5,1,653,77,1751
2024,5,1,652,74,1825
2024,5,1,651,69,1894
2024,5,1,650,79,1973
2024,5,1,649,82,2055
2024,5,1,648,79,2134
2024,5,1,647,99,2233
2024,5,1,646,78,2311
2024,5,1,645,102,2413
2024,5,1,644,95,2508
2024,5,1,643,93,2601
2024,5,1,642,112,2713
2024,5,1,641,109,2822
2024,5,1,640,107,2929
2024,5,1,639,112,3041
2024,5,1,638,95,3136
2024,5,1,637,114,3250
2024,5,1,636,122,3372
2024,5,1,635,113,3485
2024,5,1,634,120,3605
2024,5,1,633,124,3729
2024,5,1,632,118,3847
2024,5,1,631,135,3982
2024,5,1,630,137,4119
2024,5,1,629,125,4244
2024,5,1,628,147,4391
2024,5,1,627,151,4542
2024,5,1,626,135,4677
2024,5,1,625,117,4794
2024,5,1,624,140,4934
2024,5,1,623,140,5074
2024,5,1,622,118,5192
2024,5,1,621,160,5352
2024,5,1,620,158,5510
2024,5,1,619,152,5662
2024,5,1,618,174,5836
2024,5,1,617,145,5981
2024,5,1,616,153,6134
2024,5,1,615,157,6291
2024,5,1,614,172,6463
2024,5,1,613,173,6636
2024,5,1,612,163,6799
2024,5,1,611,197,6996
2024,5,1,610,180,7176
2024,5,1,609,184,7360
2024,5,1,608,224,7584
2024,5,1,607,174,7758
2024,5,1,606,183,7941
2024,5,1,605,203,8144
2024,5,1,604,212,8356
2024,5,1,603,217,8573
2024,5,1,602,218,8791
2024,5,1,601,184,8975
2024,5,1,600,223,9198
2024,5,1,599,195,9393
2024,5,1,598,225,9618
2024,5,1,597,221,9839
2024,5,1,596,197,10036
2024,5,1,595,207,10243
2024,5,1,594,226,10469
2024,5,1,593,234,10703
2024,5,1,592,206,10909
2024,5,1,591,207,11116
2024,5,1,590,243,11359
2024,5,1,589,209,11568
2024,5,1,588,231,11799
2024,5,1,587,214,12013
2024,5,1,586,217,12230
2024,5,1,585,241,12471
2024,5,1,584,260,12731
2024,5,1,583,248,12979
2024,5,1,582,230,13209
2024,5,1,581,271,13480
2024,5,1,580,224,13704
2024,5,1,579,223,13927
2024,5,1,578,258,14185
2024,5,1,577,281,14466
2024,5,1,576,247,14713
2024,5,1,575,310,15023
2024,5,1,574,282,15305
2024,5,1,573,267,15572
2024,5,1,572,272,15844
2024,5,1,571,276,16120
2024,5,1,570,259,16379
2024,5,1,569,306,16685
2024,5,1,568,310,16995
2024,5,1,567,305,17300
2024,5,1,566,311,17611
2024,5,1,565,305,17916
2024,5,1,564,301,18217
2024,5,1,563,319,18536
2024,5,1,562,300,18836
2024,5,1,561,317,19153
2024,5,1,560,343,19496
2024,5,1,559,328,19824
2024,5,1,558,341,20165
2024,5,1,557,319,20484
2024,5,1,556,312,20796
2024,5,1,555,323,21119
2024,5,1,554,320,21439
2024,5,1,553,333,21772
2024,5,1,552,333,22105
2024,5,1,551,344,22449
2024,5,1,550,352,22801
2024,5,1,549,333,23134
2024,5,1,548,383,23517
2024,5,1,547,323,23840
2024,5,1,546,345,24185
2024,5,1,545,369,24554
2024,5,1,544,327,24881
2024,5,1,543,412,25293
2024,5,1,542,359,25652
2024,5,1,541,360,26012
2024,5,1,540,381,26393
2024,5,1,539,397,26790
2024,5,1,538,402,27192
2024,5,1,537,413,27605
2024,5,1,536,390,27995
2024,5,1,535,371,28366
2024,5,1,534,411,28777
2024,5,1,533,451,29228
2024,5,1,532,456,29684
2024,5,1,531,416,30100
2024,5,1,530,422,30522
2024,5,1,529,448,30970
2024,5,1,528,466,31436
2024,5,1,527,433,31869
