year,school_id,province_id,subject_category_id,min_score,min_rank
2024,三峡大学,27,1,587,37000
2024,三峡大学(中外合作),27,1,608,21383
2024,上海中医药大学,27,1,574,48553
2024,上海中医药大学(中外合作),27,1,582,39504
2024,上海交通大学,27,1,696,100
2024,上海交通大学(工科试验班),27,1,691,182
2024,上海交通大学(自然科学试验班),27,1,679,680
2024,上海交通大学医学院,27,1,693,131
2024,上海交通大学医学院(医学试验班),27,1,679,706
2024,上海健康医学院,27,1,564,55549
2024,上海外国语大学,27,1,618,16326
2024,上海大学,27,1,626,12584
2024,上海大学(中外合作),27,1,609,20718
2024,上海对外经贸大学,27,1,590,33634
2024,上海对外经贸大学(中外合作),27,1,574,46352
2024,上海工程技术大学,27,1,577,43658
2024,上海师范大学,27,1,566,55159
2024,上海应用技术大学,27,1,561,59148
2024,上海戏剧学院,27,1,577,43892
2024,上海政法学院,27,1,560,61386
2024,上海海事大学,27,1,581,40606
2024,上海海洋大学,27,1,585,37093
2024,上海海洋大学(中外合作),27,1,567,52970
2024,上海理工大学,27,1,601,25722
2024,上海理工大学(中外合作),27,1,598,27887
2024,上海电力大学,27,1,609,20821
2024,上海电力大学(中外合作),27,1,615,17563
2024,上海电机学院,27,1,557,62874
2024,上海立信会计金融学院,27,1,568,51518
2024,上海第二工业大学,27,1,571,49052
2024,上海财经大学,27,1,644,6365
2024,东北农业大学,27,1,581,40792
2024,东北大学,27,1,636,8713
2024,东北大学(工科试验班),27,1,616,17064
2024,东北大学秦皇岛分校,27,1,628,11616
2024,东北大学秦皇岛分校(中外合作),27,1,619,15405
2024,东北师范大学,27,1,606,22570
2024,东北师范大学(中外合作)(会计学),27,1,585,37088
2024,东北师范大学(中外合作)(计算机),27,1,584,38422
2024,东北师范大学(中外合作)(金融学),27,1,541,81017
2024,东北师范大学(编导),27,1,577,43810
2024,东北林业大学,27,1,593,32613
2024,东北林业大学(中外合作),27,1,564,56970
2024,东北电力大学,27,1,586,37027
2024,东北石油大学,27,1,557,62851
2024,东北财经大学,27,1,600,26396
2024,东北财经大学(中外合作),27,1,576,44769
2024,东华大学,27,1,621,14722
2024,东华理工大学,27,1,558,62334
2024,东南大学,27,1,667,1774
2024,东南大学(工科试验班),27,1,648,5328
2024,东南大学(生物类),27,1,658,3130
2024,东莞理工学院,27,1,575,45621
2024,中北大学,27,1,583,38991
2024,中华女子学院,27,1,554,66147
2024,中南大学,27,1,644,6727
2024,中南大学(中外合作),27,1,624,13230
2024,中南林业科技大学,27,1,554,66045
2024,中南林业科技大学(中外合作),27,1,542,79849
2024,中南民族大学,27,1,545,76326
2024,中南财经政法大学,27,1,612,19155
2024,中国人民大学,27,1,680,652
2024,中国人民大学(苏州校区),27,1,652,4350
2024,中国人民警察大学,27,1,563,56686
2024,中国传媒大学,27,1,612,19505
2024,中国传媒大学(中外合作),27,1,601,25602
2024,中国传媒大学(海南校区),27,1,593,31033
2024,中国传媒大学(编导),27,1,608,21383
2024,中国农业大学,27,1,637,8623
2024,中国农业大学(中外合作),27,1,612,19473
2024,中国医科大学,27,1,611,20456
2024,中国医科大学(中外合作),27,1,572,48337
2024,中国地质大学(北京),27,1,609,20641
2024,中国地质大学(武汉),27,1,616,17084
2024,中国地质大学(武汉)(中外合作),27,1,579,42054
2024,中国地质大学(武汉)(中外合作)(计算机),27,1,609,20827
2024,中国政法大学,27,1,634,10322
2024,中国民用航空飞行学院,27,1,572,48351
2024,中国民航大学,27,1,598,28047
2024,中国海洋大学,27,1,629,11048
2024,中国海洋大学(中外合作),27,1,611,19967
2024,中国石油大学(北京),27,1,623,13811
2024,中国石油大学(北京)克拉玛依校区,27,1,591,32371
2024,中国石油大学(华东),27,1,619,15677
2024,中国矿业大学,27,1,617,16744
2024,中国矿业大学(中外合作),27,1,583,38719
2024,中国矿业大学(北京),27,1,593,33480
2024,中国社会科学院大学,27,1,625,12825
2024,中国科学技术大学,27,1,681,545
