year,school_id,province_id,subject_category_id,min_score,min_rank
2024,清华大学,22,1,702,25
2024,北京大学,22,1,697,57
2024,清华大学,22,1,695,75
2024,上海交通大学,22,1,694,90
2024,复旦大学,22,1,693,114
2024,北京大学医学部,22,1,691,155
2024,上海交通大学,22,1,686,294
2024,上海交通大学医学院,22,1,686,297
2024,复旦大学上海医学院,22,1,686,318
2024,浙江大学,22,1,685,344
2024,复旦大学,22,1,681,537
2024,中国科学技术大学,22,1,680,601
2024,北京大学医学部,22,1,680,545
2024,南京大学,22,1,678,675
2024,南京大学,22,1,678,706
2024,中国人民大学,22,1,676,793
2024,上海交通大学医学院,22,1,674,1000
2024,哈尔滨工业大学,22,1,674,1053
2024,浙江大学医学院,22,1,674,1021
2024,中南大学,22,1,673,1065
2024,哈尔滨工业大学（深圳）,22,1,673,1127
2024,北京理工大学,22,1,672,1220
2024,北京航空航天大学,22,1,671,1322
2024,西安交通大学,22,1,670,1437
2024,武汉大学,22,1,669,1517
2024,中国人民大学,22,1,668,1637
2024,东南大学,22,1,668,1608
2024,复旦大学上海医学院,22,1,668,1690
2024,华中科技大学,22,1,665,2058
2024,武汉大学,22,1,665,2073
2024,同济大学,22,1,665,2046
2024,武汉大学,22,1,664,2109
2024,北京邮电大学,22,1,663,2361
2024,南开大学,22,1,663,2317
2024,同济大学,22,1,663,2312
2024,华中科技大学,22,1,662,2492
2024,武汉大学,22,1,662,2524
2024,四川大学,22,1,661,2600
2024,天津医科大学,22,1,660,2881
2024,电子科技大学,22,1,660,2917
2024,南开大学,22,1,659,2936
2024,武汉大学,22,1,658,3233
2024,天津大学,22,1,658,3132
2024,中山大学,22,1,658,3137
2024,西北工业大学,22,1,658,3208
2024,哈尔滨工业大学（威海）,22,1,657,3341
2024,吉林大学,22,1,656,3548
2024,北京航空航天大学,22,1,656,3645
2024,北京师范大学,22,1,656,3591
2024,大连理工大学,22,1,655,3837
2024,山东大学,22,1,654,3935
2024,西安交通大学,22,1,654,4070
2024,西安交通大学,22,1,653,4198
2024,北京邮电大学,22,1,653,4173
2024,北京交通大学,22,1,653,4259
2024,北京师范大学,22,1,653,4275
2024,首都医科大学,22,1,653,4278
2024,厦门大学,22,1,652,4326
2024,东南大学,22,1,651,4656
2024,吉林大学,22,1,650,4973
2024,天津医科大学,22,1,650,4799
2024,华东师范大学,22,1,650,4873
2024,华东师范大学,22,1,650,4903
2024,北京交通大学,22,1,649,5041
2024,华南理工大学,22,1,649,5174
2024,哈尔滨工业大学（威海）,22,1,649,5043
2024,山东大学,22,1,648,5371
2024,吉林大学,22,1,648,5437
2024,厦门大学,22,1,648,5385
2024,华南理工大学,22,1,648,5264
2024,四川大学,22,1,648,5228
2024,海军军医大学,22,1,648,5278
2024,吉林大学,22,1,647,5603
2024,西安电子科技大学,22,1,646,5755
2024,中山大学,22,1,646,5795
2024,重庆大学,22,1,645,6188
2024,吉林大学,22,1,645,6202
2024,华中科技大学,22,1,645,6119
2024,四川大学,22,1,645,6074
2024,湖南大学,22,1,645,6146
2024,天津医科大学,22,1,645,6257
2024,重庆大学,22,1,644,6408
2024,吉林大学,22,1,644,6493
2024,哈尔滨工程大学,22,1,644,6558
2024,上海财经大学,22,1,644,6342
2024,哈尔滨工程大学,22,1,643,6838
