year,school_id,province_id,subject_category_id,min_score,min_rank
2024,北京大学,19,2,662,32
2024,中国人民大学,19,2,648,150
2024,中国人民大学,19,2,659,53
2024,清华大学,19,2,665,19
2024,北京交通大学,19,2,594,3847
2024,北京航空航天大学,19,2,625,818
2024,北京理工大学,19,2,611,1765
2024,北京科技大学,19,2,593,3913
2024,北京科技大学,19,2,597,3312
2024,北京科技大学,19,2,596,3469
2024,北京化工大学,19,2,577,6981
2024,北京服装学院,19,2,513,31068
2024,北京印刷学院,19,2,531,22341
2024,中国农业大学(中外合作办学),19,2,583,5770
2024,北京林业大学,19,2,575,7382
2024,北京林业大学,19,2,580,6292
2024,北京林业大学,19,2,576,7111
2024,北京林业大学,19,2,580,6282
2024,北京中医药大学,19,2,582,5882
2024,北京师范大学,19,2,636,378
2024,北京师范大学,19,2,623,920
2024,首都师范大学,19,2,584,5545
2024,首都体育学院,19,2,521,27237
2024,北京外国语大学,19,2,617,1282
2024,北京外国语大学,19,2,604,2497
2024,北京外国语大学,19,2,606,2229
2024,北京第二外国语学院,19,2,572,8079
2024,北京第二外国语学院,19,2,554,13173
2024,北京第二外国语学院,19,2,575,7462
2024,北京语言大学,19,2,570,8625
2024,北京语言大学,19,2,579,6469
2024,中国传媒大学,19,2,597,3381
2024,中国传媒大学(中外合作办学),19,2,591,4345
2024,中国传媒大学,19,2,594,3819
2024,中央财经大学,19,2,608,2019
2024,对外经济贸易大学,19,2,605,2385
2024,北京物资学院,19,2,532,21577
2024,首都经济贸易大学,19,2,571,8355
2024,北京体育大学,19,2,574,7703
2024,北京体育大学,19,2,574,7733
2024,北京体育大学(中外合作办学),19,2,521,27258
2024,中国音乐学院,19,2,566,9685
2024,中央美术学院,19,2,582,5966
2024,中央美术学院(中外合作办学),19,2,570,8599
2024,中央戏剧学院,19,2,565,9875
2024,中国戏曲学院,19,2,556,12450
2024,中国戏曲学院,19,2,558,12004
2024,北京电影学院,19,2,580,6279
2024,北京电影学院,19,2,580,6346
2024,北京电影学院,19,2,576,7270
2024,北京电影学院,19,2,573,7904
2024,北京电影学院,19,2,587,4890
2024,北京电影学院,19,2,573,7895
2024,中央民族大学,19,2,601,2938
2024,中国政法大学,19,2,611,1773
2024,中国政法大学,19,2,605,2361
2024,中国政法大学,19,2,606,2297
2024,中国政法大学,19,2,608,2094
2024,华北电力大学(北京),19,2,579,6457
2024,南开大学,19,2,627,711
2024,天津大学,19,2,603,2667
