year,school_id,province_id,subject_category_id,min_score,min_rank
2024,北京大学,19,1,689,85
2024,中国人民大学,19,1,663,1215
2024,中国人民大学,19,1,667,831
2024,清华大学,19,1,692,53
2024,清华大学,19,1,688,97
2024,北京交通大学,19,1,594,25890
2024,北京交通大学,19,1,615,13369
2024,北京交通大学(中外合作办学),19,1,606,18214
2024,北京交通大学(中外合作办学),19,1,606,18307
2024,北京交通大学,19,1,627,8570
2024,北京工业大学,19,1,610,16132
2024,北京工业大学,19,1,600,21717
2024,北京工业大学,19,1,617,12677
2024,北京工业大学,19,1,613,14430
2024,北京航空航天大学,19,1,657,1822
2024,北京航空航天大学(中外合作办学),19,1,641,4528
2024,北京理工大学(中外合作办学),19,1,611,15502
2024,北京理工大学,19,1,656,1983
2024,北京理工大学(珠海校区),19,1,665,1031
2024,北京科技大学,19,1,614,13928
2024,北京科技大学,19,1,613,14438
2024,北京科技大学,19,1,612,14724
2024,北京化工大学,19,1,604,19455
2024,北京化工大学,19,1,601,21313
2024,北京化工大学(中外合作办学),19,1,589,29569
2024,北京化工大学(中外合作办学),19,1,589,29646
2024,北京工商大学,19,1,568,49203
2024,北京工商大学,19,1,550,70559
2024,北京服装学院,19,1,538,87266
2024,北京服装学院,19,1,529,100249
2024,北京邮电大学,19,1,651,2681
2024,北京邮电大学,19,1,628,8242
2024,北京印刷学院,19,1,543,79037
2024,北京印刷学院,19,1,540,83275
2024,北京建筑大学,19,1,558,60428
2024,北京建筑大学,19,1,569,47773
2024,北京建筑大学,19,1,567,49883
2024,北京石油化工学院,19,1,514,123780
2024,北京石油化工学院,19,1,550,70044
2024,北京石油化工学院,19,1,544,78746
2024,中国农业大学,19,1,610,16237
2024,中国农业大学(中外合作办学),19,1,593,27048
2024,中国农业大学,19,1,610,15801
2024,北京林业大学,19,1,580,37424
2024,北京林业大学,19,1,582,35472
2024,北京林业大学,19,1,590,29366
2024,北京林业大学,19,1,578,39221
2024,北京林业大学,19,1,578,39416
2024,北京林业大学,19,1,594,26094
2024,北京林业大学(中外合作办学),19,1,573,44688
2024,北京林业大学,19,1,581,36675
2024,北京林业大学,19,1,592,27772
2024,北京中医药大学,19,1,583,34968
2024,北京中医药大学,19,1,592,27086
2024,北京师范大学,19,1,637,5671
2024,北京师范大学,19,1,642,4352
2024,首都师范大学,19,1,594,25639
2024,首都体育学院,19,1,539,84624
2024,北京外国语大学,19,1,619,11520
2024,北京外国语大学,19,1,605,18756
2024,北京外国语大学,19,1,612,14729
2024,北京外国语大学,19,1,615,13205
2024,北京第二外国语学院,19,1,579,37918
2024,北京第二外国语学院,19,1,551,68743
2024,北京语言大学,19,1,560,58696
2024,北京语言大学,19,1,530,99398
2024,北京语言大学,19,1,576,41271
2024,北京语言大学,19,1,568,49380
2024,中国传媒大学,19,1,595,25017
2024,中国传媒大学(中外合作办学),19,1,596,24675
2024,中国传媒大学,19,1,604,19473
2024,中国传媒大学(中外合作办学),19,1,580,37261
2024,中国传媒大学,19,1,610,15867
2024,中央财经大学,19,1,614,13853
2024,中央财经大学(中外合作办学),19,1,601,21505
2024,对外经济贸易大学,19,1,611,15363
2024,对外经济贸易大学,19,1,611,15357
2024,北京物资学院,19,1,546,76243
2024,北京物资学院,19,1,546,75028
2024,首都经济贸易大学,19,1,576,41029
2024,中国人民公安大学,19,1,608,17162
2024,北京体育大学,19,1,588,30768
2024,北京体育大学,19,1,587,31463
2024,北京体育大学(中外合作办学),19,1,547,74647
2024,北京体育大学(中外合作办学),19,1,533,94685
2024,北京体育大学,19,1,585,32762
2024,北京体育大学,19,1,588,30620
2024,中国音乐学院,19,1,586,32552
2024,中央美术学院,19,1,577,40208
2024,中央美术学院(中外合作办学),19,1,577,39804
2024,中央美术学院,19,1,607,17794
2024,北京电影学院,19,1,590,29195
2024,北京电影学院,19,1,601,21271
2024,北京电影学院,19,1,592,27700
2024,北京电影学院,19,1,595,25117
2024,北京电影学院,19,1,593,26790
2024,中央民族大学,19,1,600,21985
2024,中央民族大学,19,1,601,21410
2024,中央民族大学(合作办学),19,1,596,24774
2024,中国政法大学,19,1,613,14448
2024,中国政法大学,19,1,611,15372
2024,中国政法大学,19,1,628,8255
2024,华北电力大学(北京),19,1,590,29146
2024,华北电力大学(北京),19,1,601,21168
2024,南开大学,19,1,642,4387
2024,南开大学,19,1,641,4434
2024,天津大学,19,1,632,6799
2024,天津大学,19,1,628,8065
2024,天津科技大学,19,1,546,75328
2024,天津科技大学(中外合作办学),19,1,537,88316
2024,天津科技大学,19,1,532,96192
2024,天津科技大学(中外合作办学),19,1,549,71700
2024,天津工业大学,19,1,555,64137
2024,天津工业大学,19,1,576,40754
2024,天津工业大学,19,1,561,56721
2024,天津工业大学,19,1,556,63244
2024,天津工业大学,19,1,560,58401
2024,天津工业大学,19,1,595,25421
2024,天津工业大学(中外合作办学),19,1,572,45570
2024,中国民航大学,19,1,550,71000
2024,中国民航大学,19,1,552,67555
2024,天津理工大学,19,1,535,91606
2024,天津理工大学(中外合作办学),19,1,537,88248
2024,天津理工大学,19,1,544,77934
2024,天津理工大学(中外合作办学),19,1,554,64963
2024,天津农学院,19,1,507,136054
2024,天津农学院,19,1,505,139118
2024,天津农学院,19,1,496,155405
2024,天津农学院,19,1,521,112071
2024,天津中医药大学,19,1,545,76584
2024,天津中医药大学,19,1,547,74090
2024,天津中医药大学,19,1,569,48302
2024,天津中医药大学,19,1,556,63130
2024,天津中医药大学,19,1,544,77729
2024,天津中医药大学,19,1,541,82520
2024,天津师范大学,19,1,532,95089
2024,天津师范大学,19,1,566,51678
2024,天津师范大学,19,1,538,87041
2024,天津师范大学,19,1,561,57076
2024,天津师范大学,19,1,569,48434
2024,天津师范大学,19,1,552,67717
2024,天津师范大学,19,1,563,54804
2024,天津师范大学,19,1,549,72038
2024,天津师范大学,19,1,559,59650
2024,天津职业技术师范大学,19,1,521,112022
2024,天津职业技术师范大学,19,1,506,137525
2024,天津职业技术师范大学,19,1,510,130128
2024,天津外国语大学,19,1,536,89111
2024,天津外国语大学,19,1,533,94533
2024,天津外国语大学,19,1,567,50750
2024,天津外国语大学,19,1,546,76001
2024,天津商业大学,19,1,516,120495
2024,天津商业大学(中外合作办学),19,1,529,100898
2024,天津商业大学,19,1,520,114451
2024,天津财经大学,19,1,550,70755
2024,天津财经大学(中外合作办学),19,1,538,87123
2024,天津财经大学,19,1,555,64189
2024,天津财经大学,19,1,547,74953
2024,天津体育学院,19,1,502,144666
2024,河北工程大学,19,1,522,111719
2024,河北工程大学,19,1,530,98638
