year,school_id,province_id,subject_category_id,min_score,min_rank
2024,中国人民公安大学,8,2,606,1544
2024,北京师范大学,8,2,629,454
2024,北京师范大学,8,2,626,547
2024,北京体育大学,8,2,588,3166
2024,北京体育大学,8,2,581,3936
2024,北京体育大学,8,2,537,14562
2024,北京体育大学,8,2,588,3080
2024,北京体育大学,8,2,582,3802
2024,北京体育大学,8,2,577,4599
2024,天津师范大学,8,2,566,6561
2024,天津师范大学,8,2,490,36882
2024,天津师范大学,8,2,572,5452
2024,天津师范大学,8,2,545,11788
2024,天津体育学院,8,2,522,20279
2024,河北师范大学,8,2,553,9611
2024,河北师范大学,8,2,562,7394
2024,河北师范大学,8,2,565,6743
2024,山西师范大学,8,2,544,12115
2024,山西师范大学,8,2,562,7396
2024,山西师范大学,8,2,543,12323
2024,内蒙古师范大学,8,2,514,24409
2024,大连海事大学,8,2,591,2811
2024,大连海事大学,8,2,589,3026
2024,辽宁师范大学,8,2,538,14194
2024,辽宁师范大学,8,2,519,21929
2024,辽宁师范大学,8,2,551,10202
2024,东北师范大学,8,2,590,2902
2024,东北师范大学,8,2,602,1789
2024,东北师范大学,8,2,594,2444
2024,东北师范大学,8,2,590,2900
2024,吉林师范大学,8,2,532,16435
2024,吉林师范大学,8,2,509,26660
2024,吉林师范大学,8,2,503,29765
2024,吉林师范大学,8,2,503,29712
2024,吉林师范大学,8,2,546,11539
2024,哈尔滨师范大学,8,2,561,7696
2024,哈尔滨师范大学,8,2,554,9445
2024,华东师范大学,8,2,623,628
2024,华东师范大学,8,2,622,675
2024,华东师范大学,8,2,614,1034
2024,华东师范大学,8,2,613,1084
2024,上海体育大学,8,2,565,6666
2024,上海海关学院,8,2,586,3380
2024,南京师范大学,8,2,598,2112
2024,南京师范大学,8,2,603,1752
2024,南京师范大学,8,2,600,1933
2024,南京师范大学,8,2,601,1906
2024,浙江师范大学,8,2,570,5788
2024,浙江师范大学,8,2,580,4067
2024,浙江师范大学,8,2,539,13722
2024,安徽师范大学,8,2,560,7949
2024,安徽师范大学,8,2,569,5936
2024,安徽师范大学,8,2,567,6301
2024,福建师范大学,8,2,572,5469
2024,福建师范大学,8,2,528,17962
2024,福建师范大学,8,2,565,6682
2024,山东师范大学,8,2,562,7349
2024,山东师范大学,8,2,564,6907
2024,山东师范大学,8,2,527,18256
2024,河南师范大学,8,2,552,9897
2024,河南师范大学,8,2,562,7432
2024,华中师范大学,8,2,603,1737
2024,华中师范大学,8,2,605,1572
2024,华中师范大学,8,2,600,1919
2024,湖北师范大学,8,2,550,10262
2024,湖北师范大学,8,2,553,9575
2024,湖北师范大学,8,2,555,9193
2024,湖南师范大学,8,2,590,2838
2024,湖南师范大学,8,2,577,4541
2024,湖南师范大学,8,2,597,2227
2024,湖南师范大学,8,2,589,3040
2024,湖南师范大学,8,2,574,5050
2024,华南师范大学,8,2,591,2803
2024,华南师范大学,8,2,598,2093
2024,华南师范大学,8,2,603,1753
2024,华南师范大学,8,2,601,1902
2024,广州体育学院,8,2,533,15980
2024,广西师范大学,8,2,552,9921
2024,广西师范大学,8,2,564,6967
2024,海南师范大学,8,2,550,10498
2024,海南师范大学,8,2,463,52744
2024,海南师范大学,8,2,493,35321
2024,海南师范大学,8,2,476,45078
2024,海南师范大学,8,2,561,7644
2024,海南师范大学,8,2,558,8446
2024,重庆师范大学,8,2,564,6958
2024,重庆师范大学,8,2,525,19084
2024,重庆师范大学,8,2,572,5492
2024,重庆师范大学,8,2,570,5806
2024,西南大学,8,2,600,1950
2024,西南大学,8,2,562,7361
2024,西南大学,8,2,600,1960
2024,西南大学,8,2,605,1606
2024,西南大学(荣昌校区),8,2,586,3410
2024,西南大学(荣昌校区),8,2,585,3511
2024,四川师范大学,8,2,564,6935
2024,四川师范大学,8,2,572,5395
2024,四川师范大学,8,2,569,5938
2024,四川师范大学,8,2,568,6085
2024,四川师范大学,8,2,569,6017
2024,四川师范大学,8,2,567,6342
2024,贵州师范大学,8,2,532,16455
2024,贵州师范大学,8,2,535,15220
2024,云南师范大学,8,2,550,10400
2024,云南师范大学,8,2,486,39231
2024,云南师范大学,8,2,562,7294
2024,云南师范大学,8,2,549,10675
2024,陕西师范大学,8,2,597,2236
2024,陕西师范大学,8,2,598,2154
2024,陕西师范大学,8,2,600,1951
2024,陕西师范大学,8,2,575,4857
2024,陕西师范大学,8,2,608,1391
2024,陕西师范大学,8,2,602,1767
2024,西北师范大学,8,2,554,9309
2024,西北师范大学,8,2,560,7989
2024,西北师范大学,8,2,568,6132
2024,西北师范大学,8,2,558,8377
2024,青海师范大学,8,2,523,19861
2024,新疆师范大学,8,2,504,29395
2024,新疆师范大学,8,2,544,12122
2024,中央民族大学,8,2,607,1452
2024,华北电力大学(北京),8,2,595,2339
2024,华北电力大学(北京),8,2,592,2596
2024,北京大学,8,2,661,27
2024,北京大学,8,2,651,84
2024,中国人民大学,8,2,649,91
2024,中国人民大学,8,2,647,111
2024,中国人民大学,8,2,642,170
2024,中国人民大学,8,2,646,116
2024,中国人民大学,8,2,639,229
2024,清华大学,8,2,669,14
2024,清华大学,8,2,649,95
2024,北京交通大学,8,2,604,1634
2024,北京科技大学,8,2,601,1834
2024,北京化工大学,8,2,592,2696
2024,北京邮电大学,8,2,603,1732
2024,中国农业大学,8,2,601,1869
2024,北京林业大学,8,2,597,2214
2024,北京林业大学,8,2,600,1971
2024,北京中医药大学,8,2,591,2714
2024,北京语言大学,8,2,588,3158
2024,北京语言大学,8,2,579,4308
2024,中国传媒大学,8,2,603,1706
2024,中国传媒大学,8,2,576,4735
2024,中国传媒大学,8,2,595,2398
2024,中央财经大学,8,2,614,1016
2024,中央财经大学,8,2,605,1601
2024,对外经济贸易大学,8,2,614,1028
2024,对外经济贸易大学,8,2,601,1853
2024,对外经济贸易大学,8,2,603,1761
2024,中国政法大学,8,2,623,655
2024,中国政法大学,8,2,621,757
2024,中国政法大学,8,2,615,975
2024,中国矿业大学(北京),8,2,585,3478
2024,中国石油大学(北京),8,2,593,2578
2024,中国石油大学(北京),8,2,598,2138
2024,中国地质大学(北京),8,2,586,3395
2024,北京航空航天大学,8,2,628,475
2024,北京理工大学,8,2,617,894
2024,北京第二外国语学院,8,2,569,6019
2024,北京外国语大学,8,2,610,1274
2024,北京外国语大学,8,2,609,1368
2024,北京外国语大学,8,2,607,1471
2024,北京外国语大学,8,2,607,1451
2024,中国社会科学院大学,8,2,603,1746
2024,中国社会科学院大学,8,2,602,1766
2024,中国社会科学院大学,8,2,604,1644
2024,中国社会科学院大学,8,2,602,1809
2024,南开大学,8,2,630,418
2024,南开大学,8,2,621,717
2024,天津大学,8,2,615,977
2024,天津财经大学,8,2,565,6709
2024,天津财经大学,8,2,561,7675
2024,石家庄铁道大学,8,2,559,8129
2024,华北电力大学(保定),8,2,586,3406
2024,燕山大学,8,2,567,6315
2024,东北大学秦皇岛分校,8,2,593,2533
2024,东北财经大学,8,2,580,4149
2024,东北财经大学,8,2,554,9462
2024,东北财经大学,8,2,562,7296
2024,东北财经大学,8,2,538,14147
2024,东北财经大学,8,2,565,6805
2024,东北大学,8,2,603,1716
2024,辽宁大学,8,2,586,3370
2024,辽宁大学,8,2,586,3301
2024,辽宁大学,8,2,585,3456
2024,辽宁大学,8,2,561,7719
2024,辽宁大学,8,2,569,5959
2024,辽宁大学,8,2,561,7687
2024,辽宁大学,8,2,569,5859
2024,辽宁大学,8,2,572,5421
2024,辽宁大学,8,2,551,10182
2024,辽宁大学,8,2,559,8046
2024,辽宁大学,8,2,563,7237
2024,辽宁大学,8,2,558,8444
2024,辽宁大学,8,2,587,3273
2024,辽宁大学,8,2,576,4733
2024,辽宁大学,8,2,569,5925
2024,吉林大学,8,2,608,1411
2024,吉林大学,8,2,628,480
2024,吉林大学,8,2,609,1313
2024,吉林大学,8,2,627,506
2024,吉林大学,8,2,611,1224
2024,延边大学,8,2,566,6546
2024,长春理工大学,8,2,543,12435
2024,哈尔滨工业大学,8,2,615,990
2024,哈尔滨工程大学,8,2,583,3774
2024,哈尔滨工程大学,8,2,585,3501
2024,东北农业大学,8,2,574,5107
2024,哈尔滨医科大学,8,2,555,9203
2024,哈尔滨医科大学,8,2,556,8754
2024,哈尔滨医科大学,8,2,533,15803
2024,东北石油大学,8,2,540,13537
2024,东北林业大学,8,2,574,5156
2024,东北林业大学,8,2,576,4777
2024,黑龙江中医药大学,8,2,503,29668
2024,复旦大学,8,2,646,113
2024,复旦大学,8,2,643,154
2024,同济大学,8,2,629,439
2024,上海交通大学,8,2,652,74
2024,上海交通大学,8,2,636,270
2024,华东理工大学,8,2,603,1705
2024,华东理工大学,8,2,591,2727
2024,东华大学,8,2,593,2563
2024,东华大学,8,2,589,2978
2024,上海外国语大学,8,2,608,1424
2024,上海外国语大学,8,2,595,2390
2024,上海财经大学,8,2,613,1113
2024,华东政法大学,8,2,607,1463
2024,华东政法大学,8,2,597,2172
2024,上海大学,8,2,599,2042
2024,上海大学,8,2,591,2814
2024,上海大学,8,2,578,4463
2024,上海对外经贸大学,8,2,586,3325
2024,上海对外经贸大学,8,2,573,5210
2024,上海理工大学,8,2,565,6768
2024,上海理工大学,8,2,561,7615
2024,复旦大学医学院,8,2,587,3199
2024,"中国人民大学(苏州
校区)",8,2,614,1025
2024,南京大学,8,2,643,158
2024,南京大学,8,2,633,340
2024,东南大学,8,2,626,541
2024,中国矿业大学,8,2,595,2359
2024,河海大学,8,2,591,2734
2024,河海大学,8,2,596,2293
2024,中国药科大学,8,2,592,2690
2024,南京理工大学,8,2,590,2891
2024,南京理工大学,8,2,598,2091
2024,南京航空航天大学,8,2,596,2264
2024,苏州大学,8,2,614,1054
2024,苏州大学,8,2,605,1565
2024,苏州大学,8,2,611,1230
2024,苏州大学,8,2,596,2268
2024,南京信息工程大学,8,2,575,4845
2024,南京信息工程大学,8,2,577,4583
2024,江南大学,8,2,601,1863
2024,江南大学,8,2,603,1750
2024,江南大学,8,2,602,1819
2024,江南大学,8,2,600,1948
2024,江苏大学,8,2,577,4533
2024,扬州大学,8,2,577,4654
2024,扬州大学,8,2,580,4089
2024,扬州大学,8,2,568,6063
2024,江苏科技大学,8,2,567,6379
2024,西交利物浦大学,8,2,557,8645
2024,浙江大学,8,2,642,171
2024,宁波大学,8,2,558,8331
2024,宁波大学,8,2,600,1908
2024,浙江理工大学,8,2,569,5945
2024,浙江工商大学,8,2,579,4215
2024,宁波诺丁汉大学,8,2,558,8311
2024,宁波诺丁汉大学,8,2,556,8959
2024,合肥工业大学,8,2,586,3407
2024,合肥工业大学,8,2,593,2520
2024,安徽大学,8,2,589,3015
2024,"合肥工业大学(宣城
校区)",8,2,583,3739
2024,"合肥工业大学(宣城
校区)",8,2,581,3993
2024,厦门大学,8,2,627,520
2024,厦门大学,8,2,631,382
2024,厦门大学,8,2,627,502
2024,厦门大学,8,2,597,2216
2024,厦门大学,8,2,619,802
2024,福州大学,8,2,605,1616
2024,山东大学,8,2,614,1017
2024,山东大学,8,2,611,1192
2024,中国海洋大学,8,2,604,1677
2024,中国海洋大学,8,2,604,1622
2024,中国海洋大学,8,2,608,1404
2024,中国石油大学(华东),8,2,584,3649
2024,山东大学威海分校,8,2,609,1333
2024,山东大学威海分校,8,2,600,1981
2024,郑州大学,8,2,590,2840
