year,school_id,province_id,subject_category_id,min_score,min_rank
2024,北京师范大学,8,1,623,4494
2024,北京师范大学,8,1,628,3700
2024,北京师范大学,8,1,621,4954
2024,北京师范大学,8,1,622,4799
2024,北京师范大学,8,1,620,5145
2024,北京体育大学,8,1,576,22049
2024,北京体育大学,8,1,577,21168
2024,北京体育大学,8,1,585,17374
2024,北京体育大学,8,1,523,61965
2024,北京体育大学,8,1,589,15374
2024,北京体育大学,8,1,577,21156
2024,北京体育大学,8,1,568,26659
2024,北京体育大学,8,1,567,27296
2024,北京体育大学,8,1,565,28134
2024,北京体育大学,8,1,563,29387
2024,天津师范大学,8,1,545,42307
2024,天津师范大学,8,1,554,35695
2024,天津师范大学,8,1,557,33625
2024,天津师范大学,8,1,560,31896
2024,天津师范大学,8,1,546,42049
2024,天津师范大学,8,1,559,32344
2024,天津体育学院,8,1,503,83273
2024,中国人民警察大学,8,1,551,38092
2024,中国人民警察大学,8,1,545,42730
2024,中国人民警察大学,8,1,542,44789
2024,河北师范大学,8,1,546,42039
2024,河北师范大学,8,1,532,53690
2024,河北师范大学,8,1,547,41133
2024,山西师范大学,8,1,511,74690
2024,山西师范大学,8,1,521,64178
2024,山西师范大学,8,1,510,76033
2024,山西师范大学,8,1,536,50072
2024,山西师范大学,8,1,527,57814
2024,内蒙古师范大学,8,1,486,103506
2024,内蒙古师范大学,8,1,490,99378
2024,大连海事大学,8,1,580,19779
2024,大连海事大学,8,1,593,13925
2024,大连海事大学,8,1,578,21042
2024,大连海事大学,8,1,576,22136
2024,辽宁师范大学,8,1,509,76883
2024,辽宁师范大学,8,1,506,79743
2024,辽宁师范大学,8,1,518,66680
2024,辽宁师范大学,8,1,538,48531
2024,东北师范大学,8,1,574,23282
2024,东北师范大学,8,1,597,12133
2024,东北师范大学,8,1,583,18164
2024,吉林师范大学,8,1,514,71395
2024,吉林师范大学,8,1,507,79297
2024,吉林师范大学,8,1,497,91265
2024,吉林师范大学,8,1,498,88986
2024,吉林师范大学,8,1,518,67572
2024,哈尔滨师范大学,8,1,543,44337
2024,哈尔滨师范大学,8,1,501,86334
2024,哈尔滨师范大学,8,1,518,66673
2024,哈尔滨师范大学,8,1,538,47768
2024,华东师范大学,8,1,629,3382
2024,华东师范大学,8,1,619,5445
2024,华东师范大学,8,1,618,5712
2024,上海体育大学,8,1,554,35954
2024,上海体育大学,8,1,541,45510
2024,上海海关学院,8,1,584,17946
2024,南京师范大学,8,1,588,15818
2024,南京师范大学,8,1,598,11735
2024,南京师范大学,8,1,598,11903
2024,南京师范大学,8,1,585,17529
2024,南京师范大学,8,1,588,16028
2024,浙江师范大学,8,1,560,31329
2024,浙江师范大学,8,1,566,28029
2024,浙江师范大学,8,1,571,24704
2024,浙江师范大学,8,1,566,27765
2024,浙江师范大学,8,1,563,29757
2024,安徽师范大学,8,1,506,80035
2024,安徽师范大学,8,1,537,48877
2024,安徽师范大学,8,1,543,44187
2024,安徽师范大学,8,1,560,31566
2024,福建师范大学,8,1,560,31683
2024,福建师范大学,8,1,549,39812
2024,福建师范大学,8,1,555,35353
2024,山东师范大学,8,1,545,42748
2024,山东师范大学,8,1,560,31308
2024,山东师范大学,8,1,556,34033
2024,山东师范大学,8,1,562,30496
2024,山东师范大学,8,1,570,25572
2024,山东师范大学,8,1,558,33088
2024,河南师范大学,8,1,521,63877
2024,华中师范大学,8,1,580,19755
2024,华中师范大学,8,1,603,9793
2024,华中师范大学,8,1,600,10885
2024,华中师范大学,8,1,585,17306
2024,华中师范大学,8,1,603,10010
2024,湖北师范大学,8,1,532,53201
2024,湖北师范大学,8,1,531,54447
2024,湖北师范大学,8,1,541,46042
2024,国防科技大学,8,1,635,2519
2024,湖南师范大学,8,1,583,18420
2024,湖南师范大学,8,1,589,15712
2024,湖南师范大学,8,1,569,26333
2024,湖南师范大学,8,1,581,19187
2024,华南师范大学,8,1,581,19182
2024,华南师范大学,8,1,596,12374
2024,华南师范大学,8,1,607,8484
2024,广州体育学院,8,1,517,67702
2024,广州体育学院,8,1,546,41721
2024,广西师范大学,8,1,552,37187
2024,广西师范大学,8,1,503,83287
2024,广西师范大学,8,1,543,44373
2024,海南师范大学,8,1,504,82400
2024,海南师范大学,8,1,448,150379
2024,海南师范大学,8,1,481,110159
2024,海南师范大学,8,1,448,150379
2024,海南师范大学,8,1,535,51069
2024,海南师范大学,8,1,543,44156
2024,海南师范大学,8,1,522,63219
2024,海南师范大学,8,1,544,42968
2024,海南师范大学,8,1,545,42886
2024,重庆师范大学,8,1,549,39624
2024,重庆师范大学,8,1,492,96816
2024,重庆师范大学,8,1,563,29395
2024,重庆师范大学,8,1,531,54309
2024,重庆师范大学,8,1,555,35406
2024,重庆师范大学,8,1,560,31654
2024,重庆师范大学,8,1,562,30200
2024,西南大学,8,1,586,16668
2024,西南大学,8,1,593,13878
2024,西南大学,8,1,600,11030
2024,西南大学,8,1,581,19212
2024,西南大学,8,1,597,12144
2024,西南大学(荣昌校区),8,1,579,20320
2024,西南大学(荣昌校区),8,1,574,23025
2024,西南大学(荣昌校区),8,1,577,21203
2024,西南大学(荣昌校区),8,1,567,26985
2024,四川师范大学,8,1,561,31080
2024,四川师范大学,8,1,544,43489
2024,四川师范大学,8,1,543,44174
2024,四川师范大学,8,1,563,29887
2024,四川师范大学,8,1,559,32190
2024,四川师范大学,8,1,550,38773
2024,四川师范大学,8,1,556,34186
2024,贵州师范大学,8,1,501,85707
2024,贵州师范大学,8,1,504,82109
2024,贵州师范大学,8,1,507,79365
2024,贵州师范大学,8,1,528,57576
2024,云南师范大学,8,1,530,55545
2024,云南师范大学,8,1,544,43026
2024,云南师范大学,8,1,540,46355
2024,陕西师范大学,8,1,585,17442
2024,陕西师范大学,8,1,591,14442
2024,陕西师范大学,8,1,585,17358
2024,陕西师范大学,8,1,589,15580
2024,陕西师范大学,8,1,573,23455
2024,陕西师范大学,8,1,593,13843
2024,陕西师范大学,8,1,595,12937
2024,西北师范大学,8,1,537,48631
2024,西北师范大学,8,1,518,67640
2024,西北师范大学,8,1,537,49033
2024,青海师范大学,8,1,490,98881
2024,青海师范大学,8,1,498,90007
2024,青海师范大学,8,1,511,74735
2024,新疆师范大学,8,1,508,78151
2024,新疆师范大学,8,1,504,82190
2024,新疆师范大学,8,1,483,107406
2024,中央民族大学,8,1,602,10387
2024,中央民族大学,8,1,605,9223
2024,中央民族大学,8,1,597,12162
2024,中央民族大学,8,1,600,11004
2024,华北电力大学(北京),8,1,589,15276
2024,华北电力大学(北京),8,1,611,7603
2024,华北电力大学(北京),8,1,595,12878
2024,华北电力大学(北京),8,1,609,7962
2024,北京大学,8,1,680,37
2024,北京大学,8,1,667,228
2024,北京大学医学部,8,1,662,362
2024,北京大学医学部,8,1,649,999
2024,中国人民大学,8,1,647,1149
2024,中国人民大学,8,1,655,620
2024,中国人民大学,8,1,637,2253
2024,中国人民大学,8,1,638,2080
2024,清华大学,8,1,680,40
2024,清华大学,8,1,681,34
2024,清华大学,8,1,667,213
2024,清华大学,8,1,669,183
2024,北京交通大学,8,1,590,14868
2024,北京交通大学,8,1,628,3577
2024,北京交通大学,8,1,626,4042
2024,北京交通大学,8,1,618,5733
2024,北京交通大学,8,1,592,14301
2024,北京科技大学,8,1,615,6511
